Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 99d,25 (7-1-17 30.00%),14 (0.56),←,
17,"Charles, Justin",19y 185d,2 (0-0-2 0.00%),,←,
20,"Coleman, Glenn",29y 57d,126 (68-1-57 54.37%),65 (0.52),1 (0-0-1 0.00%),1 (1.00)
22,"Cullen, Mark",21y 190d,20 (8-0-12 40.00%),12 (0.60),←,
12,"Eppelstun, Greg",23y 136d,60 (28-1-31 47.50%),1 (0.02),←,
32,"Foster, Peter",29y 303d,107 (56-2-49 53.27%),49 (0.46),100 (53-2-45 54.00%),47 (0.47)
29,"Grant, Chris",17y 109d,1 (0-0-1 0.00%),2 (2.00),←,
30,"Harrington, Tim",26y 194d,39 (12-1-26 32.05%),2 (0.05),11 (3-0-8 27.27%),
7,"Hawkins, Doug",29y 331d,223 (86-3-134 39.24%),95 (0.43),←,
43,"Hogg, Matthew",21y 101d,36 (12-1-23 34.72%),2 (0.06),←,
21,"Kolyniuk, Steven",19y 270d,12 (4-1-7 37.50%),9 (0.75),←,
39,"Liberatore, Tony",24y 49d,19 (11-0-8 57.89%),9 (0.47),←,
27,"Macpherson, Stephen",25y 120d,121 (56-2-63 47.11%),131 (1.08),←,
11,"McGuinness, Tony",25y 330d,88 (38-2-48 44.32%),89 (1.01),←,
47,"Standfield, Barry",20y 47d,1 (0-0-1 0.00%),,←,
48,"Tzatzaris, Zeno",24y 327d,34 (17-0-17 50.00%),,←,
16,"Wallace, Terry",31y 109d,229 (135-2-92 59.39%),114 (0.50),44 (17-1-26 39.77%),11 (0.25)
24,"Wallis, Stephen",25y 156d,149 (74-2-73 50.34%),39 (0.26),←,
6,"Wigney, Stuart",20y 347d,23 (8-1-14 36.96%),2 (0.09),←,
28,"Williams, Mark",26y 14d,28 (16-1-11 58.93%),19 (0.68),9 (2-1-6 27.78%),9 (1.00)
Totals,Totals,24y 64d,1343 (636-21-686 47.36%),654 (0.49),,
C,"Wheeler, Terry",35y 19d,1 (0-0-1 0.00%),,←,
