Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
11,"Anderson, Greg",26y 51d,97 (63-0-34 64.95%),54 (0.56),←,
8,"Bewick, Darren",24y 318d,87 (53-0-34 60.92%),136 (1.56),←,
6,"Daniher, Anthony",29y 165d,213 (113-0-100 53.05%),79 (0.37),98 (64-0-34 65.31%),17 (0.17)
7,"Daniher, Chris",26y 95d,33 (19-0-14 57.58%),11 (0.33),←,
28,"Flood, David",23y 133d,35 (21-0-14 60.00%),21 (0.60),←,
1,"Harvey, Mark",27y 23d,128 (87-0-41 67.97%),155 (1.21),←,
33,"Hills, Paul",19y 288d,24 (13-0-11 54.17%),3 (0.13),←,
9,"Kickett, Derek",29y 272d,59 (33-0-26 55.93%),64 (1.08),47 (28-0-19 59.57%),52 (1.11)
42,"Kilpatrick, Glenn",19y 310d,10 (7-0-3 70.00%),2 (0.20),←,
45,"Mercuri, Mark",18y 134d,2 (1-0-1 50.00%),1 (0.50),←,
10,"ODonnell, Gary",27y 53d,106 (66-0-40 62.26%),31 (0.29),←,
14,"Plain, Bradley",22y 283d,36 (26-0-10 72.22%),64 (1.78),←,
18,"Ridley, Todd",23y 144d,10 (8-0-2 80.00%),13 (1.30),←,
3,"Salmon, Paul",27y 166d,155 (93-1-61 60.32%),366 (2.36),←,
19,"Somerville, Peter",23y 362d,41 (24-0-17 58.54%),42 (1.02),←,
17,"Sporn, Kieran",25y 311d,60 (38-0-22 63.33%),52 (0.87),←,
26,"Thompson, Mark",28y 228d,143 (92-1-50 64.69%),46 (0.32),←,
21,"Wallis, Dean",22y 312d,50 (26-0-24 52.00%),19 (0.38),←,
4,"Wanganeen, Gavin",19y 16d,32 (16-0-16 50.00%),20 (0.63),←,
24,"Werner, Michael",23y 24d,37 (24-0-13 64.86%),60 (1.62),←,
Totals,Totals,24y 166d,1358 (823-2-533 60.60%),1239 (0.91),,
C,"Sheedy, Kevin",44y 193d,276 (181-1-94 65.76%),,←,
