Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",9,3,10,19,1,2.0,,1.0,1.0,5.0,,2.0,2.0,,,11.0,9.0,,,1.0,,1.0,82.0
15,"Anderson, Noah",18,4,7,25,,2.0,,1.0,2.0,5.0,7.0,2.0,,1.0,,13.0,12.0,,2.0,1.0,,,88.0
10,"Ballard, Charlie",1,1,5,6,,,,2.0,,1.0,,3.0,,2.0,,3.0,3.0,,,5.0,,,95.0
30,"Casboult, Levi",3,3,5,8,2,,3.0,,,1.0,1.0,2.0,1.0,1.0,,4.0,4.0,1.0,2.0,2.0,,,80.0
25,"Collins, Sam",10,11,7,17,,,,4.0,2.0,,,2.0,1.0,1.0,,6.0,10.0,3.0,,10.0,,,98.0
33,"Constable, Charlie",13,8,6,19,,,,2.0,8.0,3.0,2.0,2.0,1.0,1.0,,2.0,14.0,,,1.0,1.0,,86.0
8 ↓,"Fiorini, Brayden",6,1,2,8,1,,,2.0,2.0,,1.0,1.0,1.0,,,3.0,5.0,,1.0,,,,55.0
3,"Flanders, Sam",5,6,6,11,,,,2.0,,,,,,,,3.0,7.0,,,1.0,,,63.0
36,"Hollands, Elijah",9,4,1,10,1,,,4.0,2.0,1.0,,1.0,,,,2.0,8.0,1.0,1.0,2.0,,,83.0
7,"Holman, Nick",5,5,6,11,,,,1.0,,3.0,2.0,4.0,1.0,3.0,,3.0,10.0,1.0,1.0,2.0,,,78.0
40,"Jeffrey, Joel",10,3,1,11,1,2.0,,5.0,,3.0,,,2.0,,,7.0,4.0,1.0,1.0,2.0,,1.0,63.0
34,"King, Ben",4,2,8,12,2,,,,,1.0,,2.0,,1.0,,8.0,4.0,2.0,2.0,1.0,,1.0,86.0
22,"Long, Ben",6,2,9,15,,,,2.0,3.0,2.0,2.0,3.0,,1.0,,8.0,5.0,,,2.0,1.0,,90.0
13,"Lukosius, Jack",15,6,2,17,1,1.0,,1.0,3.0,3.0,,3.0,2.0,1.0,,5.0,10.0,,1.0,4.0,1.0,1.0,87.0
44,"Macpherson, Darcy",16,5,2,18,,,,,5.0,3.0,,1.0,,,,5.0,12.0,1.0,,3.0,,1.0,84.0
11,"Miller, Touk",24,3,7,31,,,,5.0,5.0,5.0,5.0,10.0,2.0,5.0,,16.0,15.0,,,,,,92.0
41,"Rosas, Malcolm",7,1,4,11,,3.0,,3.0,,1.0,1.0,1.0,2.0,,,6.0,4.0,,,,1.0,,63.0
18,"Rowell, Matt",14,4,8,22,,,,6.0,,8.0,10.0,2.0,1.0,,1.0,13.0,9.0,,,,,1.0,86.0
6 ↑,"Sexton, Alex",4,2,1,5,1,1.0,,,,1.0,,1.0,,,,,5.0,,1.0,,,,30.0
24,"Swallow, David",8,4,6,14,,1.0,,5.0,,5.0,4.0,2.0,1.0,,,9.0,6.0,,1.0,3.0,,1.0,75.0
32,"Uwland, Bodhi",5,2,,5,,,,2.0,4.0,,1.0,1.0,1.0,1.0,,2.0,3.0,,,1.0,,,71.0
14,"Weller, Lachie",18,7,6,24,,1.0,,,4.0,3.0,1.0,1.0,,,,1.0,17.0,,,2.0,,,77.0
28,"Witts, Jarrod",6,4,6,12,1,,36.0,,,3.0,5.0,,,,,7.0,5.0,2.0,1.0,2.0,,1.0,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,91,115,331,11,14.0,39.0,48.0,41.0,57.0,42.0,46.0,18.0,18.0,1.0,137.0,181.0,12.0,14.0,45.0,4.0,8.0,
Opposition,Opposition,213,90,154,367,16,12.0,38.0,66.0,44.0,57.0,36.0,54.0,18.0,18.0,5.0,140.0,218.0,11.0,13.0,47.0,14.0,10.0,
