Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",26y 355d,155 (70-3-82 46.13%),406 (2.62),←,
3,"Coniglio, Stephen",26y 97d,134 (63-1-70 47.39%),80 (0.60),←,
35,"Corr, Aidan",25y 309d,84 (40-3-41 49.40%),2 (0.02),←,
13,"Cumming, Isaac",21y 223d,8 (5-0-3 62.50%),,←,
16,"Daniels, Brent",21y 12d,34 (22-0-12 64.71%),15 (0.44),←,
1,"Davis, Phil",29y 204d,167 (83-3-81 50.60%),7 (0.04),149 (72-3-74 49.33%),6 (0.04)
24,"de Boer, Matt",30y 11d,188 (110-4-74 59.57%),74 (0.39),50 (32-3-15 67.00%),26 (0.52)
31,"Finlayson, Jeremy",24y 41d,39 (23-2-14 61.54%),49 (1.26),←,
12,"Green, Tom",19y 58d,1 (1-0-0 100.00%),,←,
4,"Greene, Toby",26y 178d,146 (66-1-79 45.55%),170 (1.16),←,
19,"Haynes, Nick",27y 308d,129 (64-3-62 50.78%),9 (0.07),←,
27,"Himmelberg, Harry",23y 318d,66 (43-1-22 65.91%),76 (1.15),←,
2,"Hopper, Jacob",23y 44d,68 (44-1-23 65.44%),29 (0.43),←,
10,"Jacobs, Sam",31y 346d,202 (112-1-89 55.69%),48 (0.24),1 (1-0-0 100.00%),
22,"Kelly, Josh",25y 38d,119 (68-2-49 57.98%),77 (0.65),←,
40,"Kennedy, Adam",27y 253d,116 (46-0-70 39.66%),12 (0.10),←,
17,"Langdon, Zac",24y 129d,25 (14-0-11 56.00%),22 (0.88),←,
38,"Lloyd, Daniel",28y 32d,40 (24-3-13 63.75%),33 (0.82),←,
36,"Perryman, Harry",21y 93d,37 (20-1-16 55.41%),8 (0.22),←,
23,"Shaw, Heath",34y 115d,309 (189-5-115 61.97%),39 (0.13),136 (79-3-54 59.19%),2 (0.01)
15,"Taylor, Sam",20y 321d,31 (22-0-9 70.97%),1 (0.03),←,
6,"Whitfield, Lachie",25y 247d,134 (66-3-65 50.37%),60 (0.45),←,
Totals,Totals,25y 253d,2232 (1195-37-1000 53.54%),1217 (0.55),,
C,"Cameron, Leon",47y 201d,144 (80-3-61 56.60%),,←,
