Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ablett, Gary",22,9,21,43,2,,,8.0,7.0,3.0,6.0,4.0,2.0,2.0,,12.0,32.0,1.0,1.0,2.0,3.0,1.0,91.0
11,"Bennell, Harley",12,3,19,31,,,,3.0,3.0,2.0,4.0,3.0,1.0,,,7.0,22.0,,,,4.0,,88.0
3,"Brennan, Jared",6,1,4,10,,,6.0,4.0,3.0,1.0,3.0,2.0,,2.0,,6.0,3.0,,,2.0,,1.0,83.0
30,"Brown, Campbell",11,8,4,15,2,1.0,,1.0,1.0,3.0,,1.0,1.0,1.0,,4.0,11.0,1.0,4.0,3.0,,,87.0
28,"Caddy, Josh",4,2,9,13,,,1.0,2.0,1.0,2.0,3.0,1.0,,,,6.0,7.0,,,1.0,,1.0,73.0
27,"Coad, Michael",7,1,1,8,,,,2.0,3.0,,,4.0,1.0,3.0,,2.0,7.0,,,5.0,,,95.0
15,"Flanagan, Piers",4,,5,9,,,,2.0,1.0,2.0,,2.0,,,,2.0,7.0,,,,,,78.0
5,"Harbrow, Jarrod",10,3,5,15,,1.0,,1.0,4.0,3.0,,3.0,,2.0,,1.0,14.0,,,,,,88.0
40,"Hickey, Tom",2,3,10,12,,,10.0,2.0,,,4.0,3.0,1.0,2.0,,7.0,5.0,1.0,,1.0,,,86.0
29,"Hine, Taylor",10,3,5,15,,,,2.0,1.0,3.0,,,,,,3.0,11.0,,,1.0,2.0,1.0,83.0
42,"Horsley, Kyal",5,3,6,11,,,,2.0,2.0,2.0,1.0,1.0,1.0,,,5.0,6.0,,,1.0,,,66.0
19,"Lynch, Tom",7,4,4,11,,,3.0,2.0,,2.0,,4.0,,1.0,,4.0,6.0,,,1.0,,1.0,90.0
6,"Magin, Alik",6,1,7,13,2,,,3.0,1.0,,,,,,,5.0,7.0,,,1.0,,,79.0
32,"Matera, Brandon",7,1,7,14,,,,4.0,1.0,2.0,2.0,3.0,1.0,2.0,,3.0,11.0,,,,,2.0,80.0
45,"May, Steven",16,12,6,22,3,,,2.0,,6.0,,2.0,3.0,,1.0,11.0,11.0,4.0,2.0,1.0,,1.0,92.0
51,"McQualter, Andrew",8,5,9,17,,,,4.0,,1.0,,3.0,,,,3.0,14.0,,,2.0,,1.0,76.0
26 ↓,"Shaw, Matt",3,2,6,9,,1.0,,2.0,1.0,,2.0,,,,,3.0,7.0,,,2.0,,,59.0
25,"Stanley, Danny",8,6,17,25,,1.0,,2.0,1.0,1.0,1.0,3.0,,1.0,,7.0,18.0,,,2.0,1.0,,91.0
21,"Taylor, Jeremy",4,3,8,12,1,,,2.0,,,,,1.0,,,6.0,7.0,1.0,1.0,4.0,,,94.0
20 ↑,"Toy, Josh",,,3,3,,,,,,,,,,,,1.0,2.0,,,,,,24.0
14,"Warnock, Matthew",4,2,9,13,,,,2.0,4.0,,,4.0,,3.0,,6.0,5.0,1.0,,10.0,2.0,,100.0
4,"Weller, Maverick",4,5,13,17,,,,2.0,5.0,,,3.0,1.0,2.0,,6.0,12.0,,,3.0,1.0,,96.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,160,77,178,338,10,5.0,20.0,54.0,39.0,33.0,26.0,46.0,13.0,21.0,1.0,110.0,225.0,9.0,8.0,42.0,13.0,9.0,
Opposition,Opposition,226,98,228,454,19,15.0,51.0,62.0,20.0,66.0,48.0,50.0,21.0,13.0,5.0,148.0,301.0,6.0,15.0,40.0,12.0,13.0,
