Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
27,"Baird, John",22y 299d,16 (10-0-6 62.50%),4 (0.25),←,
16,"Brown, Leigh",21y 42d,65 (21-0-44 32.31%),21 (0.32),2 (2-0-0 100.00%),1 (0.50)
23,"Clayton, Shane",24y 164d,105 (56-0-49 53.33%),51 (0.49),87 (54-0-33 62.07%),50 (0.57)
2,"Colbert, Leigh",27y 303d,158 (91-1-66 57.91%),63 (0.40),53 (29-0-24 54.72%),13 (0.25)
6,"Grant, Shannon",25y 352d,174 (105-1-68 60.63%),190 (1.09),116 (73-0-43 62.93%),152 (1.31)
39,"Harding, Leigh",21y 345d,26 (14-0-12 53.85%),37 (1.42),←,
4,"Harris, Daniel",20y 331d,13 (5-0-8 38.46%),1 (0.08),←,
29,"Harvey, Brent",24y 327d,131 (83-0-48 63.36%),149 (1.14),←,
34,"King, David",31y 30d,200 (127-0-73 63.50%),115 (0.57),←,
35,"Makepeace, Troy",24y 31d,64 (34-0-30 53.13%),16 (0.25),←,
32,"Morrell, Digby",23y 178d,28 (15-0-13 53.57%),33 (1.18),←,
19,"Motlop, Daniel",21y 21d,8 (2-0-6 25.00%),2 (0.25),←,
20,"Petrie, Drew",20y 173d,21 (10-0-11 47.62%),14 (0.67),←,
17,"Porter, Mark",26y 177d,78 (41-0-37 52.56%),19 (0.24),23 (13-0-10 56.52%),6 (0.26)
3,"Rawlings, Brady",21y 300d,52 (33-0-19 63.46%),21 (0.40),←,
30,"Robbins, Ben",26y 100d,77 (39-2-36 51.95%),17 (0.22),25 (14-0-11 56.00%),3 (0.12)
26,"Rocca, Saverio",29y 137d,200 (91-2-107 46.00%),613 (3.07),44 (21-0-23 47.73%),99 (2.25)
7,"Simpson, Adam",27y 49d,161 (104-0-57 64.60%),50 (0.31),←,
9,"Sinclair, Jess",24y 223d,85 (30-0-55 35.29%),44 (0.52),35 (17-0-18 48.57%),18 (0.51)
10,"Stevens, Anthony",31y 278d,254 (156-0-98 61.42%),114 (0.45),←,
36,"Watt, Shannon",22y 131d,28 (15-0-13 53.57%),4 (0.14),←,
8,"Wells, Daniel",18y 62d,2 (2-0-0 100.00%),1 (0.50),←,
Totals,Totals,24y 168d,1946 (1084-6-856 55.70%),1579 (0.81),,
C,"Laidley, Dani",36y 10d,2 (2-0-0 100.00%),,←,
