Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Alvin, Tom",30y 347d,176 (101-2-73 57.95%),69 (0.39),←,
25,"Athorn, Mark",25y 147d,75 (33-2-40 45.33%),17 (0.23),22 (14-1-7 65.91%),6 (0.27)
21,"Bradley, Craig",29y 162d,160 (93-2-65 58.75%),115 (0.72),←,
20,"Brown, Fraser",22y 228d,45 (19-1-25 43.33%),16 (0.36),←,
39,"Christou, Ang",21y 77d,7 (3-1-3 50.00%),2 (0.29),←,
6,"Dorotich, Jon",30y 341d,126 (69-2-55 55.56%),98 (0.78),←,
12,"Gleeson, Adrian",25y 338d,124 (74-2-48 60.48%),116 (0.94),←,
13,"Hanna, Mil",26y 363d,110 (56-2-52 51.82%),47 (0.43),←,
17,"Heaver, Brent",21y 292d,16 (10-1-5 65.63%),24 (1.50),4 (1-1-2 37.50%),12 (3.00)
33,"Hogg, Matthew",24y 103d,77 (35-3-39 47.40%),10 (0.13),18 (11-1-6 63.89%),6 (0.33)
4,"Kernahan, Stephen",29y 214d,160 (94-2-64 59.38%),455 (2.84),←,
43,"Koutoufides, Anthony",20y 75d,8 (2-1-5 31.25%),2 (0.25),←,
44,"Madden, Justin",31y 307d,241 (145-2-94 60.58%),149 (0.62),196 (115-2-79 59.18%),129 (0.66)
5,"McKay, Andrew",22y 263d,2 (0-1-1 25.00%),,←,
14,"Sexton, Michael",22y 29d,37 (17-1-19 47.30%),3 (0.08),←,
9,"Sholl, Brett",21y 208d,13 (7-1-5 57.69%),2 (0.15),←,
1,"Silvagni, Stephen",25y 307d,120 (74-1-45 62.08%),90 (0.75),←,
11,"Spalding, Earl",28y 23d,133 (84-1-48 63.53%),83 (0.62),24 (14-1-9 60.42%),20 (0.83)
38,"Welsh, Rohan",22y 178d,16 (9-1-6 59.38%),34 (2.13),←,
2,"Williams, Greg",29y 185d,159 (86-1-72 54.40%),133 (0.84),18 (10-1-7 58.33%),5 (0.28)
Totals,Totals,25y 246d,1805 (1011-30-764 56.01%),1465 (0.81),,
C,"Parkin, David",50y 203d,329 (188-2-139 57.45%),,166 (101-2-63 61.45%),
