Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",27y 219d,208 (116-0-92 55.77%),192 (0.92),←,
31,"Dale, Bailey",26y 344d,123 (68-0-55 55.28%),77 (0.63),←,
35,"Daniel, Caleb",26y 359d,168 (93-0-75 55.36%),45 (0.27),←,
15,"Duryea, Taylor",32y 68d,185 (124-1-60 67.30%),25 (0.14),67 (42-0-25 62.69%),4 (0.06)
44,"English, Tim",25y 325d,100 (56-0-44 56.00%),56 (0.56),←,
43,"Gardner, Ryan",26y 30d,49 (30-0-19 61.22%),3 (0.06),←,
29,"Hannan, Mitch",29y 114d,80 (45-0-35 56.25%),76 (0.95),30 (17-0-13 56.67%),21 (0.70)
42,"Keath, Alex",31y 162d,97 (58-1-38 60.31%),5 (0.05),67 (42-0-25 62.69%),4 (0.06)
21,"Liberatore, Tom",31y 46d,209 (103-0-106 49.28%),79 (0.38),←,
7,"Lobb, Rory",30y 142d,154 (85-2-67 55.84%),157 (1.02),14 (9-0-5 64.29%),14 (1.00)
11,"Macrae, Jack",28y 332d,223 (120-0-103 53.81%),54 (0.24),←,
30,"McNeil, Lachlan",22y 142d,38 (27-0-11 71.05%),19 (0.50),←,
33,"Naughton, Aaron",23y 213d,115 (65-0-50 56.52%),175 (1.52),←,
18,"ODonnell, James",20y 304d,6 (3-0-3 50.00%),1 (0.17),←,
25,"Poulter, Caleb",20y 262d,13 (4-0-9 30.77%),2 (0.15),1 (1-0-0 100.00%),
28,"Scott, Anthony",28y 123d,50 (32-0-18 64.00%),26 (0.52),←,
6,"Smith, Bailey",22y 206d,97 (57-0-40 58.76%),43 (0.44),←,
1,"Treloar, Adam",30y 114d,223 (101-1-121 45.52%),131 (0.59),50 (31-0-19 62.00%),34 (0.68)
2,"Ugle-Hagan, Jamarra",21y 88d,37 (20-0-17 54.05%),45 (1.22),←,
23,"Vandermeer, Laitham",24y 148d,36 (20-0-16 55.56%),19 (0.53),←,
3,"Weightman, Cody",22y 167d,51 (29-0-22 56.86%),86 (1.69),←,
14,"West, Rhylee",22y 354d,29 (18-0-11 62.07%),15 (0.52),←,
34,"Williams, Bailey",25y 264d,119 (65-0-54 54.62%),28 (0.24),←,
Totals,Totals,26y 70d,2410 (1339-5-1066 55.56%),1359 (0.56),,
C,"Beveridge, Luke",52y 312d,198 (113-0-85 57.07%),,←,
