Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ablett, Gary",21,3,12,33,1,1.0,,7.0,3.0,5.0,10.0,3.0,2.0,1.0,1.0,16.0,17.0,1.0,,1.0,2.0,,94.0
11,"Bennell, Harley",21,7,17,38,4,,1.0,4.0,2.0,5.0,4.0,2.0,,1.0,3.0,13.0,24.0,1.0,2.0,2.0,2.0,1.0,82.0
3,"Brennan, Jared",11,3,11,22,1,1.0,3.0,1.0,1.0,3.0,2.0,2.0,,1.0,,8.0,15.0,1.0,2.0,1.0,,,87.0
30,"Brown, Campbell",7,5,3,10,,,,1.0,1.0,2.0,,2.0,1.0,1.0,,3.0,7.0,1.0,,3.0,3.0,,94.0
28,"Caddy, Josh",8,4,3,11,,1.0,2.0,2.0,,1.0,,1.0,,,,3.0,8.0,1.0,2.0,1.0,,,72.0
12,"Day, Sam",4,3,7,11,,,1.0,2.0,,2.0,,4.0,2.0,1.0,,9.0,3.0,1.0,,1.0,,,90.0
23,"Dixon, Charlie",5,2,5,10,,1.0,18.0,2.0,2.0,2.0,,5.0,1.0,2.0,,5.0,5.0,1.0,,2.0,,1.0,80.0
5,"Harbrow, Jarrod",14,2,8,22,,,,,2.0,6.0,1.0,2.0,1.0,1.0,,4.0,17.0,,,,3.0,1.0,96.0
29,"Hine, Taylor",2,,4,6,,,,1.0,1.0,,,3.0,1.0,3.0,,2.0,2.0,,,4.0,,,100.0
7,"Hunt, Karmichael",2,1,10,12,,,,8.0,,2.0,3.0,2.0,1.0,2.0,,7.0,4.0,,,,,,82.0
19,"Lynch, Tom",12,8,6,18,1,,3.0,2.0,,3.0,1.0,1.0,,,,9.0,9.0,4.0,2.0,,,1.0,96.0
32,"Matera, Brandon",10,4,5,15,,4.0,,5.0,,3.0,3.0,1.0,2.0,,,9.0,5.0,1.0,2.0,1.0,,1.0,81.0
18,"McKenzie, Trent",6,8,8,14,,,,3.0,3.0,,1.0,2.0,,,,6.0,8.0,1.0,,2.0,,,98.0
43 ↑,"Patrick, Liam",8,5,5,13,,1.0,,2.0,2.0,2.0,,3.0,1.0,1.0,,4.0,9.0,,1.0,1.0,6.0,,73.0
41 ↓,"Prestia, Dion",1,1,5,6,,,,1.0,1.0,,3.0,,1.0,,,5.0,2.0,,,,,,19.0
35,"Rischitelli, Michael",6,3,4,10,1,1.0,,2.0,,,1.0,2.0,,,,4.0,5.0,2.0,2.0,1.0,,,88.0
8,"Russell, Luke",8,2,8,16,1,,,2.0,,3.0,3.0,2.0,1.0,1.0,,7.0,11.0,,,1.0,3.0,,76.0
26,"Shaw, Matt",14,9,6,20,,1.0,,1.0,4.0,3.0,,1.0,2.0,1.0,,7.0,14.0,,,1.0,4.0,1.0,82.0
2,"Smith, Zac",1,1,6,7,,,7.0,,,,,1.0,1.0,1.0,,3.0,4.0,,,1.0,,,39.0
24,"Swallow, David",12,1,11,23,,,,4.0,,5.0,6.0,2.0,1.0,1.0,,15.0,7.0,,,1.0,,2.0,73.0
14,"Warnock, Matthew",3,3,2,5,,,,,,,,,,,,2.0,3.0,1.0,,3.0,2.0,,100.0
4,"Weller, Maverick",7,4,8,15,,,,1.0,2.0,1.0,,2.0,,1.0,,4.0,10.0,1.0,,3.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,79,154,337,9,12.0,35.0,51.0,24.0,48.0,38.0,43.0,18.0,19.0,4.0,145.0,189.0,17.0,13.0,30.0,25.0,8.0,
Opposition,Opposition,201,107,158,359,16,12.0,32.0,66.0,32.0,46.0,26.0,37.0,19.0,18.0,2.0,127.0,223.0,21.0,19.0,49.0,16.0,8.0,
