Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",8,2,3,11,,1.0,,3.0,1.0,1.0,2.0,4.0,1.0,2.0,,6,6,,1.0,2.0,1.0,,79.0
21,"Barlow, Michael",11,9,13,24,,2.0,1.0,7.0,2.0,2.0,4.0,5.0,1.0,3.0,1.0,9,16,,3.0,,,,73.0
26,"Bradley, Kepler",7,3,8,15,,,7.0,,2.0,1.0,1.0,2.0,,1.0,,6,9,,,1.0,,,84.0
15,"Crowley, Ryan",2,1,6,8,,,,3.0,,1.0,1.0,3.0,1.0,2.0,,4,4,,,1.0,,,83.0
40,"de Boer, Matt",7,3,8,15,,1.0,,4.0,,1.0,1.0,4.0,2.0,3.0,,8,7,1.0,,1.0,,,89.0
41,"Duffield, Paul",16,8,6,22,,,,1.0,3.0,4.0,,,,,,5,15,2.0,,2.0,,,99.0
7,"Fyfe, Nat",22,4,4,26,1.0,1.0,,1.0,1.0,6.0,3.0,6.0,1.0,3.0,3.0,9,17,,,1.0,,1.0,75.0
12,"Griffin, Jonathon",5,3,1,6,,,24.0,6.0,1.0,2.0,,2.0,1.0,2.0,,3,3,1.0,,2.0,,,82.0
32,"Hill, Stephen",12,5,8,20,,,,5.0,1.0,3.0,4.0,3.0,1.0,1.0,,10,10,,,1.0,2.0,,85.0
5,"Ibbotson, Garrick",12,8,8,20,,,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,5,15,,1.0,2.0,,,77.0
37,"Johnson, Michael",13,4,3,16,,,1.0,4.0,3.0,3.0,,4.0,3.0,2.0,,6,9,,,3.0,,,96.0
23,"Mayne, Chris",4,5,4,8,2.0,,,6.0,,1.0,,1.0,,1.0,,3,5,1.0,2.0,,,,85.0
18,"McPharlin, Luke",16,13,4,20,,,,1.0,4.0,,,2.0,,2.0,,5,14,3.0,,3.0,2.0,,100.0
9,"McPhee, Adam",16,11,5,21,,,,2.0,4.0,,1.0,,,,,4,16,,,7.0,,,100.0
16,"Mundy, David",9,3,10,19,1.0,,,5.0,,3.0,2.0,3.0,,2.0,,6,13,,,2.0,,2.0,77.0
13,"Mzungu, Tendai",7,3,4,11,1.0,,1.0,6.0,,2.0,1.0,3.0,,1.0,,4,8,,1.0,1.0,,,77.0
29,"Pavlich, Matthew",10,7,8,18,2.0,3.0,,1.0,,2.0,,1.0,1.0,,,11,7,4.0,4.0,2.0,,,93.0
46,"Pearce, Clancee",12,9,10,22,2.0,,,3.0,1.0,5.0,5.0,1.0,,,2.0,12,10,2.0,2.0,2.0,,2.0,83.0
24,"Roberton, Dylan",12,5,3,15,,,,,3.0,2.0,1.0,1.0,1.0,,,10,8,,,2.0,,,94.0
34,"Spurr, Lee",11,4,5,16,,1.0,,4.0,4.0,,,2.0,,1.0,,3,13,,,2.0,,,89.0
33 ↑,"Sutcliffe, Cam",4,2,2,6,1.0,,,2.0,1.0,2.0,2.0,,,,,3,3,,,1.0,,,18.0
38 ↓,"Walters, Michael",4,2,2,6,1.0,,,4.0,,,,,2.0,,,4,2,,1.0,,,,61.0
Totals,Totals,220,114,125,345,11.0,9.0,35.0,71.0,34.0,44.0,30.0,49.0,16.0,27.0,6.0,136,210,14.0,15.0,38.0,5.0,5.0,
Opposition,Opposition,176,71,185,361,6.0,12.0,31.0,59.0,26.0,43.0,39.0,39.0,27.0,16.0,,140,212,8.0,10.0,36.0,4.0,5.0,
