North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Anderson, Stuart",11,3,5,16,1,2.0,,,,,,,,1.0,,,,,,,,,
11,"Archer, Glenn",13,1,5,18,2,1.0,,1.0,,,,,1.0,1.0,3.0,,,,,,,,
14,"Armstrong, Matt",12,2,4,16,,2.0,,1.0,,,,,,2.0,,,,,,,,,
12,"Blakey, John",13,4,5,18,1,1.0,,3.0,,,,,1.0,3.0,2.0,,,,,,,,
16,"Capuano, Mathew",1,,,1,,,5.0,,,,,,1.0,1.0,,,,,,,,,
18,"Carey, Wayne",8,1,8,16,,1.0,4.0,,,,,,2.0,,,,,,,,,,
27,"Crocker, Darren",6,,,6,,,,1.0,,,,,2.0,,,,,,,,,,
25,"Daniltchenko, Jason",10,1,7,17,,2.0,,3.0,,,,,2.0,1.0,,,,,,,,,
28,"Dwyer, Anthony",4,1,5,9,1,1.0,,,,,,,2.0,,,,,,,,,,
6,"Fairley, Ian",2,,1,3,,,,,,,,,,1.0,,,,,,,,,
17,"Freeborn, Glenn",8,1,4,12,,3.0,,2.0,,,,,,5.0,,,,,,,,,
34,"King, David",3,,3,6,,,,3.0,,,,,,2.0,,,,,,,,,
7,"Laidley, Dani",11,4,9,20,,,,2.0,,,,,,,,,,,,,,,
4,"Martyn, Mick",5,1,3,8,,,,,,,,,,,,,,,,,,,
31,"McKernan, Corey",17,2,2,19,,1.0,23.0,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Roberts, Mark",8,2,3,11,1,,,3.0,,,,,,,,,,,,,,,
3,"Rock, Anthony",19,4,10,29,,1.0,,2.0,,,,,3.0,1.0,,,,,,,,,
2,"Schwass, Wayne",14,1,3,17,1,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
8,"Scott, Robert",8,1,6,14,,,,2.0,,,,,,1.0,,,,,,,,,
37,"Simpson, Adam",10,,,10,1,1.0,1.0,2.0,,,,,1.0,3.0,,,,,,,,,
10,"Stevens, Anthony",18,5,5,23,1,,,2.0,,,,,3.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,34,88,289,9,20.0,34.0,29.0,,,,,20.0,25.0,5.0,,,,,,,,
Opposition,Opposition,183,49,112,295,8,10.0,36.0,43.0,,,,,25.0,20.0,1.0,,,,,,,,
