West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Braun, Michael",8,4,5,13,,,,3.0,,2.0,2.0,2.0,3.0,2.0,,6.0,9.0,,,2.0,,1.0,74.0
17,"Chick, Daniel",5,1,5,10,3,,,1.0,,1.0,,,,,,7.0,2.0,,,2.0,,1.0,73.0
20,"Cox, Dean",9,6,4,13,2,,17.0,1.0,4.0,,2.0,1.0,1.0,,,3.0,10.0,,2.0,,,,63.0
32,"Embley, Andrew",10,6,6,16,1,1.0,,2.0,,5.0,1.0,3.0,1.0,1.0,,7.0,9.0,,,,3.0,,96.0
7,"Fletcher, Chad",14,4,7,21,,,,,2.0,2.0,1.0,,3.0,,,8.0,14.0,,,,,,77.0
23,"Glass, Darren",2,4,6,8,,,,2.0,,,,,,,,4.0,4.0,3.0,,4.0,,,81.0
22,"Graham, Jaymie",11,9,4,15,1,,,1.0,1.0,2.0,,1.0,1.0,1.0,,3.0,11.0,,1.0,5.0,,,94.0
39,"Hunter, Adam",6,3,7,13,2,,,1.0,,,,2.0,1.0,2.0,,3.0,9.0,1.0,1.0,2.0,,,91.0
25,"Hurn, Shannon",12,5,2,14,1,1.0,,2.0,2.0,2.0,,1.0,,,,1.0,12.0,,,1.0,1.0,,86.0
38,"Jones, Brett",11,6,5,16,,,,1.0,1.0,4.0,,1.0,1.0,,1.0,7.0,10.0,1.0,,1.0,,,69.0
18,"Jones, Rowan",10,6,14,24,,1.0,,,2.0,4.0,2.0,1.0,,,,6.0,16.0,,1.0,,,,82.0
3,"Judd, Chris",23,6,16,39,4,1.0,,8.0,1.0,7.0,10.0,3.0,1.0,,3.0,28.0,11.0,2.0,,1.0,,,93.0
21,"Lynch, Quinten",10,6,5,15,1,1.0,,2.0,,5.0,2.0,2.0,,,,4.0,11.0,1.0,1.0,,,,78.0
24,"Rosa, Matt",12,6,6,18,,,,4.0,1.0,4.0,3.0,2.0,1.0,,,4.0,14.0,,,3.0,1.0,,67.0
28,"Sampi, Ashley",5,3,6,11,,3.0,,4.0,,2.0,1.0,,,,,7.0,4.0,1.0,1.0,1.0,,1.0,87.0
14,"Seaby, Mark",4,3,5,9,,,11.0,5.0,1.0,2.0,1.0,5.0,1.0,2.0,,3.0,6.0,,,1.0,,,60.0
37,"Selwood, Adam",7,3,8,15,1,1.0,,4.0,,4.0,1.0,1.0,2.0,1.0,,9.0,6.0,1.0,,1.0,,,91.0
41,"Staker, Brent",6,4,3,9,1,,,1.0,,1.0,,2.0,,,,3.0,6.0,2.0,2.0,3.0,,,92.0
5,"Stenglein, Tyson",12,4,9,21,,,,4.0,1.0,,6.0,1.0,1.0,,2.0,10.0,10.0,2.0,,3.0,1.0,2.0,100.0
8,"Waters, Beau",13,5,5,18,,,,,3.0,1.0,,2.0,2.0,1.0,,4.0,12.0,,,1.0,,1.0,76.0
44,"Wirrpanda, David",11,1,3,14,,,,3.0,8.0,1.0,,3.0,,,,4.0,10.0,,,4.0,,1.0,93.0
13,"Wooden, Josh",10,2,12,22,1,1.0,,2.0,2.0,3.0,3.0,3.0,1.0,,,7.0,13.0,,,4.0,,1.0,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,97,143,354,18,14.0,28.0,51.0,29.0,52.0,35.0,36.0,20.0,10.0,6.0,138.0,209.0,14.0,9.0,39.0,6.0,8.0,
Opposition,Opposition,232,142,125,357,9,9.0,34.0,51.0,35.0,38.0,28.0,47.0,10.0,19.0,,107.0,248.0,7.0,11.0,43.0,16.0,7.0,
