Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Ablett, Gary",13,10.0,,13,5.0,7.0,,1.0,,,,,1.0,1.0,,,,,,,,,
6,"Barnes, John",4,4.0,4.0,8,,,7.0,,,,,,3.0,1.0,,,,,,,,,
9,"Breuer, Shayne",11,3.0,5.0,16,4.0,4.0,1.0,7.0,,,,,,1.0,,,,,,,,,
16,"Brownless, Bill",6,3.0,2.0,8,1.0,2.0,3.0,,,,,,1.0,1.0,,,,,,,,,
40,"Brown, Paul",11,3.0,3.0,14,,,,,,,,,2.0,,,,,,,,,,
7,"Couch, Paul",18,2.0,18.0,36,,,,1.0,,,,,,2.0,,,,,,,,,
36,"Graham, Ben",2,,2.0,4,,,,,,,,,,,,,,,,,,,
19,"Hall, Derek",5,5.0,12.0,17,,,,1.0,,,,,,,,,,,,,,,
42,"Hickmott, Adrian",6,2.0,5.0,11,,1.0,,,,,,,,1.0,,,,,,,,,
29,"Hinkley, Ken",6,1.0,2.0,8,,1.0,,,,,,,,1.0,,,,,,,,,
32,"Hocking, Garry",15,3.0,11.0,26,,,1.0,3.0,,,,,,2.0,3.0,,,,,,,,
4,"Lord, Aaron",6,3.0,7.0,13,4.0,,,,,,,,,1.0,,,,,,,,,
21,"Mansfield, Michael",10,3.0,7.0,17,,,,1.0,,,,,3.0,2.0,,,,,,,,,
17,"McGrath, Tim",14,10.0,5.0,19,,,1.0,1.0,,,,,1.0,,,,,,,,,,
31,"Mensch, David",4,3.0,6.0,10,,1.0,4.0,2.0,,,,,1.0,3.0,,,,,,,,,
23,"Pickering, Liam",12,5.0,11.0,23,,,,1.0,,,,,,1.0,,,,,,,,,
15,"Riccardi, Peter",19,9.0,9.0,28,1.0,1.0,,2.0,,,,,2.0,,1.0,,,,,,,,
12,"Sholl, Brad",21,5.0,8.0,29,,,,2.0,,,,,1.0,,,,,,,,,,
37,"Simpson, Sean",11,5.0,6.0,17,,1.0,,5.0,,,,,3.0,,,,,,,,,,
10,"Tanner, Grant",7,4.0,7.0,14,,,,1.0,,,,,,1.0,,,,,,,,,
11,"Tudor, Leigh",8,2.0,4.0,12,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,,
Totals,Totals,209,85.0,134.0,343,16.0,20.0,17.0,29.0,,,,,18.0,19.0,4.0,,,,,,,,
Opposition,Opposition,172,59.0,106.0,278,14.0,7.0,21.0,28.0,,,,,19.0,18.0,2.0,,,,,,,,
