North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",6,2,7,13,,,,1.0,,,,,,1.0,,,,,,,,,
22,"Bryce, Paul",15,7,2,17,,,,,,,,,3.0,2.0,,,,,,,,,
14,"Buckley, Ben",10,3,4,14,1.0,,,,,,,,,1.0,,,,,,,,,
18,"Carey, Wayne",7,5,1,8,1.0,,,2.0,,,,,2.0,1.0,,,,,,,,,
30,"Chandler, Jeff",7,2,2,9,,,,,,,,,,1.0,,,,,,,,,
23,"Clarkson, Alastair",9,2,2,11,,1.0,,,,,,,1.0,,,,,,,,,,
27,"Crocker, Darren",5,2,2,7,,,,1.0,,,,,,,,,,,,,,,
29,"German, Peter",20,5,3,23,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,
34,"Hepburn, Mark",7,6,6,13,1.0,1.0,13.0,,,,,,1.0,2.0,,,,,,,,,
8,"Krakouer, Andrew",4,1,5,9,,,,1.0,,,,,,1.0,,,,,,,,,
35,"Longmire, John",11,8,3,14,3.0,4.0,,,,,,,,1.0,,,,,,,,,
16,"McCarthy, John",4,3,5,9,,,1.0,,,,,,1.0,2.0,,,,,,,,,
25,"McDonald, Donald",8,5,3,11,3.0,3.0,,,,,,,1.0,1.0,,,,,,,,,
19,"McRae, Dean",12,3,1,13,,,,1.0,,,,,1.0,1.0,,,,,,,,,
3,"Rock, Anthony",17,3,6,23,1.0,1.0,,1.0,,,,,2.0,1.0,3.0,,,,,,,,
2,"Schwass, Wayne",10,2,6,16,,,,,,,,,1.0,2.0,,,,,,,,,
15,"Smith, Ross",5,1,1,6,,,,,,,,,,,,,,,,,,,
32,"Smith, Shaun",5,1,1,6,,1.0,,,,,,,,1.0,,,,,,,,,
7,"Steele, Darren",11,4,4,15,1.0,2.0,,,,,,,,1.0,,,,,,,,,
46,"Stevens, Anthony",16,4,6,22,,,,2.0,,,,,2.0,2.0,,,,,,,,,
Totals,Totals,189,69,70,259,12.0,13.0,14.0,9.0,,,,,16.0,23.0,4.0,,,,,,,,
Opposition,Opposition,191,64,128,319,12.0,15.0,9.0,24.0,,,,,23.0,16.0,2.0,,,,,,,,
