Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
23,"Bolton, Mark",24y 155d,58 (36-1-21 62.93%),27 (0.47),←,
37,"Bullen, Marcus",21y 55d,19 (14-0-5 73.68%),6 (0.32),←,
13,"Cupido, Damian",21y 178d,35 (21-0-14 60.00%),53 (1.51),22 (14-0-8 63.64%),37 (1.68)
31,"Fletcher, Dustin",28y 121d,204 (142-3-59 70.34%),59 (0.29),←,
39,"Haynes, Ben",22y 70d,11 (8-0-3 72.73%),4 (0.36),6 (5-0-1 83.33%),4 (0.67)
3,"Henneman, Aaron",22y 266d,40 (33-0-7 82.50%),1 (0.03),←,
19,"Hille, David",22y 95d,48 (30-0-18 62.50%),32 (0.67),←,
5,"Hird, James",30y 213d,185 (118-5-62 65.14%),274 (1.48),←,
21,"Jacobs, Danny",23y 72d,80 (54-1-25 68.13%),23 (0.29),←,
14,"Johnson, Jason",25y 223d,109 (78-1-30 72.02%),66 (0.61),←,
1,"Johnson, Mark",25y 105d,109 (81-1-27 74.77%),30 (0.28),←,
18,"Lloyd, Matthew",25y 142d,164 (106-2-56 65.24%),598 (3.65),←,
25,"Lucas, Scott",25y 249d,159 (103-1-55 65.09%),227 (1.43),←,
28,"McGrath, Cory",24y 213d,27 (18-0-9 66.67%),14 (0.52),←,
33,"McPhee, Adam",20y 334d,48 (20-0-28 41.67%),18 (0.38),23 (14-0-9 60.87%),9 (0.39)
10,"McVeigh, Mark",22y 222d,80 (52-1-27 65.63%),35 (0.44),←,
24,"Misiti, Joe",28y 300d,216 (138-4-74 64.81%),89 (0.41),←,
11,"Peverill, Damien",24y 55d,52 (32-1-19 62.50%),12 (0.23),←,
43,"Rioli, Dean",25y 108d,71 (50-1-20 71.13%),81 (1.14),←,
7,"Solomon, Dean",23y 239d,98 (71-0-27 72.45%),33 (0.34),←,
6,"Wellman, Sean",28y 350d,199 (119-3-77 60.55%),34 (0.17),165 (106-2-57 64.85%),25 (0.15)
12,"Welsh, Andrew",20y 206d,36 (20-1-15 56.94%),5 (0.14),←,
Totals,Totals,24y 164d,2048 (1344-26-678 65.63%),1721 (0.84),,
C,"Sheedy, Kevin",55y 255d,544 (352-6-186 65.26%),,←,
