Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Armfield, Dennis",5,1,3,8,,,,8.0,,2.0,2.0,2.0,,1.0,,3.0,5.0,,,,1.0,1.0,81.0
19,"Betts, Eddie",8,2,6,14,1,,,2.0,,1.0,2.0,3.0,1.0,,,7.0,7.0,1.0,1.0,,,,88.0
35,"Curnow, Ed",11,6,9,20,,,,6.0,,4.0,1.0,1.0,,1.0,,5.0,15.0,,,2.0,1.0,,75.0
34,"Duigan, Nick",5,2,6,11,,,,5.0,2.0,,1.0,,1.0,,,6.0,5.0,,,,,,88.0
38,"Garlett, Jeff",8,3,1,9,2,1.0,,1.0,,3.0,1.0,1.0,,,,3.0,6.0,,1.0,2.0,,,84.0
4,"Gibbs, Bryce",18,7,7,25,,,,2.0,5.0,,,1.0,,1.0,,5.0,17.0,,,2.0,1.0,,92.0
22,"Hampson, Shaun",3,3,6,9,1,,28.0,3.0,,3.0,,1.0,1.0,,,5.0,4.0,2.0,1.0,1.0,,,76.0
23,"Henderson, Lachie",13,10,6,19,,,,1.0,2.0,1.0,,2.0,,1.0,,7.0,14.0,1.0,,8.0,1.0,,89.0
40,"Jamison, Michael",14,5,7,21,,,,,3.0,2.0,1.0,4.0,1.0,4.0,,5.0,14.0,,,2.0,1.0,,91.0
45,"Joseph, Aaron",7,5,6,13,,,,4.0,2.0,,,1.0,,,,5.0,8.0,,,2.0,,,84.0
5,"Judd, Chris",9,1,9,18,,1.0,,3.0,,3.0,7.0,1.0,3.0,1.0,,16.0,2.0,,,,,,89.0
8,"Kreuzer, Matthew",5,2,5,10,,,25.0,1.0,1.0,2.0,,1.0,1.0,,,2.0,7.0,1.0,,6.0,,,85.0
9 ↑,"Lucas, Kane",1,,2,3,,,,1.0,,,,1.0,,,,1.0,2.0,,,1.0,,,17.0
3,"Murphy, Marc",15,4,13,28,,,,8.0,2.0,3.0,5.0,2.0,2.0,,,13.0,15.0,,,2.0,,,88.0
12,"Robinson, Mitch",12,7,9,21,2,1.0,,6.0,1.0,3.0,4.0,4.0,,2.0,1.0,10.0,11.0,1.0,1.0,1.0,,,79.0
2,"Russell, Jordan",11,8,9,20,,,,4.0,1.0,,2.0,1.0,,,,7.0,13.0,,,3.0,,,88.0
29,"Scotland, Heath",15,10,15,30,,,,5.0,4.0,2.0,,2.0,1.0,2.0,3.0,5.0,24.0,,,1.0,2.0,,89.0
6,"Simpson, Kade",20,13,15,35,1,,1.0,1.0,2.0,4.0,3.0,3.0,,,2.0,7.0,28.0,1.0,,2.0,2.0,1.0,86.0
32,"Thornton, Bret",10,6,5,15,,,,,1.0,1.0,,3.0,,,,2.0,13.0,,,6.0,,1.0,84.0
42 ↓,"Tuohy, Zach",9,5,3,12,,,,2.0,1.0,1.0,,3.0,1.0,2.0,,3.0,9.0,,,,,,70.0
30,"Waite, Jarrad",9,5,3,12,1,1.0,,2.0,1.0,4.0,,,2.0,,,4.0,8.0,,,3.0,,,87.0
1,"Walker, Andrew",15,4,4,19,2,,,3.0,,7.0,1.0,4.0,,1.0,,5.0,13.0,,,1.0,1.0,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,109,149,372,10,5.0,54.0,68.0,28.0,46.0,30.0,41.0,14.0,16.0,6.0,126.0,240.0,7.0,4.0,45.0,10.0,3.0,
Opposition,Opposition,201,95,156,357,7,15.0,32.0,81.0,32.0,41.0,40.0,37.0,16.0,14.0,,125.0,234.0,8.0,7.0,49.0,4.0,7.0,
