Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ballard, Charlie",10,1,6,16,,,,1.0,2.0,1.0,,2.0,,2.0,,7.0,7.0,,,2.0,,,93.0
3,"Bowes, Jack",11,4,16,27,,,,6.0,,7.0,3.0,4.0,,1.0,,11.0,18.0,1.0,,4.0,,,80.0
29,"Burgess, Chris",8,6,4,12,,1.0,,3.0,,3.0,,2.0,,1.0,,4.0,8.0,,2.0,2.0,,1.0,88.0
25,"Collins, Sam",9,8,9,18,,,,3.0,4.0,1.0,,4.0,1.0,2.0,,8.0,9.0,2.0,,7.0,,,96.0
8,"Fiorini, Brayden",15,2,10,25,,,,3.0,1.0,5.0,3.0,2.0,,,,11.0,13.0,,,4.0,1.0,,80.0
1,"Hanley, Pearce",11,3,8,19,,,,1.0,4.0,2.0,1.0,3.0,,,,7.0,14.0,,,4.0,,,82.0
5,"Harbrow, Jarrod",19,9,13,32,,,,,3.0,7.0,,6.0,1.0,2.0,,7.0,25.0,1.0,,3.0,3.0,,86.0
39,"Holman, Nick",3,1,12,15,,,,4.0,,2.0,1.0,6.0,2.0,2.0,,10.0,5.0,,,3.0,,,77.0
20,"Hombsch, Jack",5,4,4,9,,,,2.0,,2.0,,2.0,,,,2.0,7.0,1.0,,7.0,,,83.0
38,"Joyce, Jesse",11,4,6,17,,,,2.0,8.0,,1.0,4.0,,,,4.0,13.0,,,8.0,,,80.0
41,"Lukosius, Jack",6,2,1,7,,2.0,,2.0,,2.0,,3.0,,1.0,,1.0,6.0,,,,,,67.0
44,"Macpherson, Darcy",7,5,7,14,,,,7.0,,1.0,2.0,4.0,1.0,,,5.0,9.0,,1.0,,,,76.0
4,"Martin, Jack",18,9,6,24,1,3.0,,3.0,3.0,6.0,3.0,3.0,1.0,1.0,3.0,13.0,12.0,2.0,3.0,1.0,1.0,,82.0
2,"Miles, Anthony",17,1,3,20,,,,3.0,3.0,6.0,5.0,3.0,3.0,,,10.0,9.0,,,,,,59.0
11,"Miller, Touk",9,5,11,20,1,,,4.0,,2.0,5.0,1.0,2.0,,,10.0,11.0,,,2.0,1.0,,80.0
31,"Murdoch, Jordan",12,6,6,18,,,,2.0,1.0,2.0,,2.0,1.0,,,7.0,12.0,,,3.0,2.0,,89.0
27,"Powell, Wil",12,4,9,21,,1.0,,2.0,,3.0,1.0,3.0,2.0,1.0,,9.0,15.0,,,2.0,,,87.0
6,"Sexton, Alex",13,3,4,17,4,5.0,,4.0,,3.0,,2.0,2.0,,,8.0,8.0,,3.0,1.0,,,88.0
24,"Swallow, David",16,5,14,30,1,,,5.0,2.0,3.0,9.0,1.0,1.0,,1.0,16.0,13.0,,2.0,2.0,,2.0,73.0
14,"Weller, Lachie",15,7,7,22,,,,2.0,5.0,5.0,,1.0,,1.0,,7.0,13.0,,,1.0,1.0,,88.0
28,"Witts, Jarrod",9,2,7,16,,,35.0,3.0,,2.0,4.0,5.0,2.0,1.0,,11.0,5.0,,,4.0,,,84.0
30,"Wright, Peter",9,6,6,15,,3.0,7.0,1.0,1.0,2.0,,1.0,,,,4.0,11.0,1.0,2.0,4.0,,1.0,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,245,97,169,414,7,19.0,42.0,63.0,37.0,67.0,38.0,64.0,19.0,15.0,4.0,172.0,243.0,8.0,13.0,64.0,9.0,4.0,
Opposition,Opposition,208,71,148,356,8,10.0,48.0,61.0,55.0,46.0,43.0,59.0,15.0,19.0,2.0,153.0,195.0,7.0,8.0,49.0,1.0,6.0,
