St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
26,"Battle, Josh",24y 304d,92 (45-0-47 48.91%),27 (0.29),←,
16,"Butler, Dan",27y 29d,120 (69-0-51 57.50%),143 (1.19),75 (38-0-37 50.67%),90 (1.20)
13,"Byrnes, Ryan",22y 60d,43 (25-0-18 58.14%),11 (0.26),←,
47,"Caminiti, Anthony",19y 205d,12 (7-0-5 58.33%),15 (1.25),←,
5,"Crouch, Brad",29y 169d,151 (77-0-74 50.99%),51 (0.34),56 (29-0-27 51.79%),17 (0.30)
4,"Gresham, Jade",25y 312d,127 (60-1-66 47.64%),128 (1.01),←,
22,"Higgins, Jack",24y 105d,95 (56-1-38 59.47%),113 (1.19),52 (26-0-26 50.00%),84 (1.62)
8,"Hill, Bradley",29y 358d,226 (135-0-91 59.73%),94 (0.42),77 (41-0-36 53.25%),15 (0.19)
20,"Howard, Dougal",27y 99d,117 (60-0-57 51.28%),15 (0.13),72 (37-0-35 51.39%),1 (0.01)
12,"King, Max",22y 360d,66 (32-0-34 48.48%),126 (1.91),←,
19,"Marshall, Rowan",27y 220d,101 (48-0-53 47.52%),46 (0.46),←,
10,"Owens, Mitch",19y 281d,21 (11-0-10 52.38%),22 (1.05),←,
25,"Phillipou, Mattaes",18y 187d,15 (9-0-6 60.00%),8 (0.53),←,
6,"Ross, Sebastian",30y 56d,194 (80-2-112 41.75%),33 (0.17),←,
43,"Sharman, Cooper",22y 342d,22 (11-0-11 50.00%),16 (0.73),←,
35,"Sinclair, Jack",28y 140d,156 (69-1-86 44.55%),52 (0.33),←,
9,"Steele, Jack",27y 201d,149 (66-1-82 44.63%),56 (0.38),132 (58-1-73 44.32%),47 (0.36)
14,"Stocker, Liam",23y 160d,43 (17-0-26 39.53%),2 (0.05),15 (9-0-6 60.00%),
7,"Wanganeen-Milera, Nasiah",20y 130d,32 (17-0-15 53.13%),3 (0.09),←,
29,"Webster, Jimmy",30y 4d,141 (56-1-84 40.07%),4 (0.03),←,
44,"Wilkie, Callum",27y 114d,100 (50-0-50 50.00%),1 (0.01),←,
17,"Windhager, Marcus",20y 47d,28 (15-0-13 53.57%),6 (0.21),←,
32,"Wood, Mason",29y 292d,108 (56-0-52 51.85%),107 (0.99),43 (26-0-17 60.47%),31 (0.72)
Totals,Totals,25y 70d,2159 (1071-7-1081 49.61%),1079 (0.50),,
C,"Lyon, Ross",56y 236d,320 (181-5-134 57.34%),,136 (85-4-47 63.97%),
