Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",20y 310d,42 (7-0-35 16.67%),14 (0.33),11 (4-0-7 36.36%),2 (0.18)
17,"Beams, Dayne",24y 165d,107 (75-2-30 71.03%),116 (1.08),←,
11,"Blair, Jarryd",24y 104d,97 (69-1-27 71.65%),73 (0.75),←,
29,"Broomhead, Tim",20y 127d,3 (0-0-3 0.00%),,←,
32,"Cloke, Travis",27y 144d,213 (135-2-76 63.85%),385 (1.81),←,
19,"Elliott, Jamie",21y 340d,50 (32-0-18 64.00%),67 (1.34),←,
45,"Frost, Jack",22y 152d,19 (10-0-9 52.63%),,←,
6,"Goldsack, Tyson",27y 66d,119 (78-0-41 65.55%),46 (0.39),←,
23,"Keeffe, Lachlan",24y 104d,35 (23-0-12 65.71%),7 (0.20),←,
7,"Kennedy, Ben",20y 146d,18 (10-0-8 55.56%),11 (0.61),←,
41,"Langdon, Tom",20y 48d,16 (8-0-8 50.00%),,←,
8,"Lumumba, Heritier",27y 254d,195 (128-2-65 66.15%),28 (0.14),←,
3,"Macaffer, Brent",26y 149d,69 (44-2-23 65.22%),32 (0.46),←,
37,"Martin, Kyle",23y 313d,5 (3-0-2 60.00%),7 (1.40),←,
10,"Pendlebury, Scott",26y 201d,188 (123-2-63 65.96%),126 (0.67),←,
20,"Reid, Ben",25y 89d,96 (64-2-30 67.71%),30 (0.31),←,
40,"Seedsman, Paul",22y 186d,36 (20-0-16 55.56%),13 (0.36),←,
22,"Sidebottom, Steele",23y 206d,122 (86-2-34 71.31%),94 (0.77),←,
18,"White, Jesse",26y 199d,85 (43-2-40 51.76%),88 (1.04),14 (8-0-6 57.14%),15 (1.07)
26,"Williams, Marley",21y 5d,32 (19-0-13 59.38%),3 (0.09),←,
15,"Witts, Jarrod",21y 317d,22 (13-0-9 59.09%),13 (0.59),←,
14,"Young, Clinton",28y 161d,134 (81-1-52 60.82%),68 (0.51),18 (10-0-8 55.56%),8 (0.44)
Totals,Totals,23y 355d,1703 (1071-18-614 62.89%),1221 (0.72),,
C,"Buckley, Nathan",42y 1d,65 (40-0-25 61.54%),,←,
