Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",15,5,11,26,,1.0,,4.0,,,,,1.0,,1.0,,,,,,,,
32,"Baldwin, Jason",9,4,3,12,,,,,,,,,,1.0,,,,,,,,,
34,"Boyd, Brad",15,6,4,19,1,,,,,,,,1.0,3.0,,,,,,,,,
31,"Dent, Matthew",6,2,4,10,,,,1.0,,,,,2.0,1.0,,,,,,,,,
18,"Dunstan, Michael",11,6,5,16,,,,2.0,,,,,3.0,,,,,,,,,,
6,"Guard, Jeremy",10,4,8,18,,2.0,,4.0,,,,,1.0,,,,,,,,,,
17,"Hawking, Simon",12,6,5,17,,,1.0,,,,,,3.0,,,,,,,,,,
10,"Hogg, Jeff",9,2,2,11,,2.0,,1.0,,,,,4.0,3.0,,,,,,,,,
2,"Johnson, Chris",12,3,6,18,,2.0,,2.0,,,,,5.0,,,,,,,,,,
13,"Kavanagh, Tom",2,,1,3,,,,,,,,,,1.0,,,,,,,,,
30,"Manson, James",3,2,,3,1,,3.0,,,,,,1.0,1.0,,,,,,,,,
25,"McCarthy, John",7,5,5,12,,,,1.0,,,,,,2.0,,,,,,,,,
36,"Mitchell, Nick",1,1,,1,,,,,,,,,,1.0,,,,,,,,,
7,"Molloy, Jarrod",7,4,3,10,2,1.0,,2.0,,,,,,1.0,,,,,,,,,
43,"Morton, Danny",3,,1,4,,1.0,,1.0,,,,,,,,,,,,,,,
4,"Paxman, Stephen",3,3,4,7,,,3.0,2.0,,,,,1.0,,,,,,,,,,
1,"Roos, Paul",16,9,10,26,1,1.0,2.0,2.0,,,,,4.0,2.0,2.0,,,,,,,,
22,"Stretch, Steven",10,4,6,16,,,1.0,,,,,,1.0,2.0,,,,,,,,,
33,"Warfe, Rowan",4,5,9,13,,1.0,,1.0,,,,,1.0,,,,,,,,,,
12,"Wheildon, Darren",4,3,1,5,1,,,1.0,,,,,,4.0,,,,,,,,,
8,"Wynd, Jim",17,2,4,21,1,,,3.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,76,92,268,7,16.0,10.0,27.0,,,,,29.0,22.0,3.0,,,,,,,,
Opposition,Opposition,156,61,102,258,8,17.0,10.0,24.0,,,,,22.0,29.0,3.0,,,,,,,,
