Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartel, Jimmy",6,5,17,23,,,,2.0,2.0,2.0,,3.0,,2.0,,4.0,18.0,,,1.0,,1.0,85.0
24,"Bews, Jed",5,3,5,10,,,,3.0,2.0,1.0,,,,,,3.0,7.0,2.0,,1.0,,,87.0
46,"Blicavs, Mark",11,7,16,27,,,13.0,7.0,1.0,2.0,5.0,3.0,6.0,2.0,,15.0,14.0,1.0,1.0,1.0,,1.0,92.0
5,"Cockatoo, Nakia",7,6,7,14,,1.0,,3.0,,2.0,1.0,3.0,1.0,1.0,,5.0,9.0,2.0,1.0,1.0,1.0,,80.0
44,"Enright, Corey",9,5,12,21,,,,1.0,4.0,,1.0,3.0,1.0,1.0,,8.0,12.0,1.0,,1.0,,,87.0
28,"Gregson, Cory",7,4,8,15,,1.0,,5.0,,3.0,,,2.0,,,2.0,13.0,,,1.0,,,83.0
29,"Guthrie, Cameron",7,1,15,22,,1.0,,6.0,1.0,1.0,3.0,4.0,,1.0,,12.0,10.0,1.0,1.0,,,,86.0
26,"Hawkins, Tom",4,1,4,8,2,,,2.0,,,,6.0,2.0,3.0,,4.0,4.0,,1.0,1.0,,,97.0
20,"Johnson, Steve",12,7,11,23,1,,,3.0,2.0,2.0,2.0,1.0,1.0,,,6.0,18.0,,1.0,2.0,,,88.0
9,"Kelly, James",12,8,13,25,,,,2.0,2.0,,1.0,7.0,,3.0,,8.0,17.0,1.0,1.0,2.0,,,82.0
8,"Kolodjashnij, Jake",10,7,8,18,,,,1.0,2.0,1.0,,2.0,,1.0,,4.0,15.0,,,6.0,,,91.0
11,"Lang, Darcy",3,1,11,14,1,,,3.0,1.0,,2.0,,,,,3.0,10.0,,,,,,87.0
13,"Lonergan, Tom",13,7,7,20,,,1.0,2.0,2.0,3.0,1.0,7.0,1.0,3.0,,5.0,17.0,,,4.0,,,89.0
4,"Mackie, Andrew",13,4,12,25,,,,,3.0,3.0,1.0,2.0,,1.0,,9.0,16.0,,,,,,88.0
10,"Menzel, Daniel",12,4,8,20,4,2.0,,1.0,,3.0,,3.0,2.0,1.0,,14.0,7.0,2.0,2.0,1.0,,,86.0
32,"Motlop, Steven",9,1,6,15,1,,,3.0,1.0,3.0,,4.0,,3.0,,4.0,12.0,,,,1.0,,83.0
21 ↑,"Murdoch, Jordan",6,3,5,11,,,,,2.0,3.0,,1.0,,1.0,,1.0,11.0,,,,,,39.0
14,"Selwood, Joel",8,3,11,19,,,,3.0,1.0,3.0,4.0,5.0,2.0,4.0,,7.0,11.0,,,,,,79.0
7,"Taylor, Harry",5,8,5,10,,,,4.0,1.0,1.0,,,1.0,,,4.0,7.0,2.0,,2.0,,,93.0
40,"Thurlow, Jackson",7,2,13,20,,,,,1.0,3.0,,4.0,,1.0,,2.0,18.0,,,,,,81.0
30,"Vardy, Nathan",3,3,7,10,,,10.0,1.0,,1.0,,4.0,,2.0,,6.0,4.0,3.0,2.0,,,1.0,77.0
34 ↓,"Walker, Josh",4,3,1,5,,,,,1.0,2.0,,1.0,1.0,,,5.0,,3.0,1.0,2.0,,1.0,40.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,93,202,375,9,8.0,24.0,52.0,29.0,39.0,21.0,63.0,20.0,30.0,,131.0,250.0,18.0,11.0,26.0,2.0,4.0,
Opposition,Opposition,252,123,159,411,17,8.0,32.0,72.0,28.0,50.0,41.0,48.0,30.0,20.0,6.0,147.0,261.0,12.0,13.0,36.0,6.0,13.0,
