Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",15,4,10,25,,1.0,,5.0,,,,,1.0,1.0,,,,,,,,,
5,"Barker, John",10,9,6,16,,,,,,,,,,,,,,,,,,,
41,"Bird, Peter",8,4,6,14,1,,,1.0,,,,,,,,,,,,,,,
14,"Bizzotto, Frank",6,2,7,13,,,,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Boyd, Brad",19,3,11,30,1,1.0,,1.0,,,,,,2.0,,,,,,,,,
21,"Cavedon, Andrew",13,11,1,14,5,4.0,1.0,1.0,,,,,,,,,,,,,,,
27,"Chandler, Brett",9,3,11,20,,1.0,,4.0,,,,,,2.0,,,,,,,,,
35,"Cook, Brett",2,5,5,7,,,8.0,1.0,,,,,,1.0,,,,,,,,,
24,"Cummings, Trent",8,,5,13,,,,1.0,,,,,2.0,1.0,,,,,,,,,
6,"Guard, Jeremy",15,5,9,24,,1.0,,2.0,,,,,2.0,,,,,,,,,,
17,"Hawking, Simon",9,2,3,12,,,,1.0,,,,,3.0,,,,,,,,,,
3,"Hawkins, Doug",8,4,9,17,,,1.0,3.0,,,,,2.0,,,,,,,,,,
19,"Holmes, Darren",6,3,8,14,,,,4.0,,,,,1.0,1.0,,,,,,,,,
2,"Johnson, Chris",3,2,10,13,,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,
30,"Manson, James",6,2,5,11,,1.0,6.0,,,,,,,,,,,,,,,,
38,"McCarthy, Adam",7,2,8,15,2,,,2.0,,,,,,,,,,,,,,,
25,"McCarthy, John",2,,3,5,1,,,1.0,,,,,,1.0,,,,,,,,,
42,"Mellington, Anthony",3,1,2,5,1,,,,,,,,,2.0,,,,,,,,,
7,"Molloy, Jarrod",8,5,5,13,2,1.0,2.0,5.0,,,,,,3.0,,,,,,,,,
4,"Paxman, Stephen",3,,6,9,,,,1.0,,,,,2.0,,,,,,,,,,
16,"Zanotti, Mark",19,3,4,23,,1.0,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,70,134,313,13,14.0,18.0,38.0,,,,,15.0,16.0,,,,,,,,,
Opposition,Opposition,196,95,159,355,28,13.0,18.0,17.0,,,,,16.0,15.0,6.0,,,,,,,,
