Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",29y 362d,239 (116-1-122 48.74%),156 (0.65),←,
26,"Bonner, Riley",21y 144d,21 (15-0-6 71.43%),3 (0.14),←,
33,"Byrne-Jones, Darcy",22y 312d,60 (34-0-26 56.67%),5 (0.08),←,
17,"Clurey, Tom",24y 128d,58 (36-0-22 62.07%),,←,
22,"Dixon, Charlie",27y 309d,124 (53-1-70 43.15%),198 (1.60),59 (34-0-25 57.63%),104 (1.76)
7,"Ebert, Brad",28y 118d,231 (109-1-121 47.40%),114 (0.49),155 (81-1-73 52.58%),81 (0.52)
24,"Farrell, Kane",19y 134d,1 (1-0-0 100.00%),1 (1.00),←,
9,"Gray, Robbie",30y 121d,195 (95-0-100 48.72%),286 (1.47),←,
36,"Hombsch, Jack",25y 144d,95 (50-0-45 52.63%),1 (0.01),86 (50-0-36 58.14%),1 (0.01)
43,"Houston, Dan",21y 78d,35 (23-0-12 65.71%),4 (0.11),←,
42,"Jonas, Tom",27y 201d,117 (62-1-54 53.42%),1 (0.01),←,
40,"Lienert, Jarrod",23y 358d,2 (1-0-1 50.00%),,←,
6,"Motlop, Steven",27y 139d,152 (102-2-48 67.76%),186 (1.22),17 (12-0-5 70.59%),11 (0.65)
29,"Pittard, Jasper",27y 119d,122 (66-0-56 54.10%),11 (0.09),←,
21,"Polec, Jared",25y 290d,102 (59-0-43 57.84%),53 (0.52),86 (52-0-34 60.47%),44 (0.51)
2,"Powell-Pepper, Sam",20y 202d,36 (24-0-12 66.67%),21 (0.58),←,
11,"Rockliff, Tom",28y 157d,169 (57-0-112 33.73%),94 (0.56),15 (11-0-4 73.33%),7 (0.47)
4,"Ryder, Paddy",30y 137d,222 (112-4-106 51.35%),151 (0.68),52 (33-0-19 63.46%),34 (0.65)
23,"Watts, Jack",27y 125d,168 (55-2-111 33.33%),160 (0.95),15 (9-0-6 60.00%),17 (1.13)
39,"Westhoff, Justin",31y 301d,244 (118-1-125 48.57%),285 (1.17),←,
16,"Wines, Ollie",23y 295d,125 (71-0-54 56.80%),56 (0.45),←,
20,"Wingard, Chad",25y,143 (76-1-66 53.50%),227 (1.59),←,
Totals,Totals,25y 339d,2661 (1335-14-1312 50.17%),2013 (0.76),,
C,"Hinkley, Ken",51y 302d,133 (77-0-56 57.89%),,←,
