Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
18,"Cameron, Leon",22y 344d,104 (55-2-47 53.85%),44 (0.42),←,
28,"Dimattina, Paul",20y 263d,2 (1-0-1 50.00%),,←,
20,"Ellen, Shane",22y 223d,7 (4-0-3 57.14%),1 (0.14),←,
3,"Grant, Chris",22y 242d,118 (64-2-52 55.08%),257 (2.18),←,
1,"Grgic, Ilija",23y 160d,49 (29-1-19 60.20%),77 (1.57),←,
29,"Griffin, Daryl",19y 201d,10 (6-1-3 65.00%),,←,
37,"Hargraves, Daniel",19y 200d,13 (8-0-5 61.54%),15 (1.15),←,
6,"Johnson, Brad",19y 25d,26 (13-1-12 51.92%),16 (0.62),←,
4,"Kellett, Nigel",25y 237d,74 (40-1-33 54.73%),31 (0.42),←,
2,"Kolyniuk, Steven",25y 38d,105 (54-1-50 51.90%),120 (1.14),←,
12,"Koster, Kym",22y 192d,34 (19-1-14 57.35%),11 (0.32),←,
39,"Liberatore, Tony",29y 182d,147 (82-2-63 56.46%),73 (0.50),←,
9,"Nicholson, Brad",21y 69d,25 (14-1-10 58.00%),1 (0.04),←,
44,"Osborne, Richard",31y 57d,240 (102-1-137 42.71%),526 (2.19),37 (21-1-15 58.11%),76 (2.05)
22,"Quill, Peter",25y 354d,40 (25-1-14 63.75%),15 (0.38),←,
34,"Sexton, Ben",22y 287d,35 (19-1-15 55.71%),31 (0.89),←,
5,"Smith, Rohan",22y 73d,49 (29-1-19 60.20%),23 (0.47),←,
17,"Standfield, Barry",25y 180d,93 (52-1-40 56.45%),37 (0.40),←,
25,"Watts, Jason",24y 14d,28 (16-0-12 57.14%),3 (0.11),←,
7,"West, Scott",20y 271d,59 (32-1-26 55.08%),34 (0.58),←,
15,"Wynd, Scott",25y 199d,122 (63-2-57 52.46%),24 (0.20),←,
Totals,Totals,23y 164d,1380 (727-21-632 52.68%),1339 (0.97),,
C,"Joyce, Alan",52y 295d,134 (89-1-44 66.79%),,41 (22-1-18 54.88%),
