Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bairstow, Mark",13,2,4,17,,,,1.0,,,,,,1.0,,,,,,,,,
27,"Bews, Andrew",11,3,8,19,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
30,"Bourke, Damian",15,10,4,19,,1.0,21.0,,,,,,5.0,1.0,2.0,,,,,,,,
16,"Brownless, Bill",10,6,5,15,4,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,
7,"Couch, Paul",17,3,10,27,,,1.0,2.0,,,,,,3.0,,,,,,,,,
28,"Darcy, Tim",12,7,8,20,2,,,,,,,,2.0,3.0,,,,,,,,,
17,"Exell, Gavin",2,,2,4,1,,,,,,,,,1.0,,,,,,,,,
29,"Hinkley, Ken",20,7,4,24,,1.0,,,,,,,2.0,1.0,,,,,,,,,
32,"Hocking, Garry",11,1,9,20,1,1.0,,,,,,,2.0,3.0,,,,,,,,,
1,"Hocking, Steve",3,1,10,13,1,,,2.0,,,,,,2.0,,,,,,,,,
12,"Malakellis, Spiro",9,,4,13,1,1.0,,3.0,,,,,2.0,2.0,,,,,,,,,
21,"Mansfield, Michael",7,2,3,10,,1.0,,3.0,,,,,2.0,1.0,,,,,,,,,
22,"Neeld, Mark",9,3,1,10,4,3.0,,1.0,,,,,3.0,1.0,,,,,,,,,
20,"Rogers, Andrew",7,1,5,12,,,,2.0,,,,,,,,,,,,,,,
6,"Russell, Dwayne",1,,2,3,,,,,,,,,,1.0,,,,,,,,,
23,"Schulze, Michael",2,1,2,4,,,1.0,,,,,,,,,,,,,,,,
8,"Scott, Robert",9,2,11,20,1,,,1.0,,,,,1.0,3.0,,,,,,,,,
9,"Sterrett, Ray",9,2,2,11,1,3.0,,3.0,,,,,1.0,,,,,,,,,,
26,"Stoneham, Barry",14,9,5,19,,,4.0,1.0,,,,,1.0,1.0,,,,,,,,,
45,"Wills, Andrew",15,2,5,20,1,1.0,,5.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,62,104,300,17,17.0,28.0,28.0,,,,,22.0,27.0,2.0,,,,,,,,
Opposition,Opposition,223,71,107,330,22,18.0,5.0,28.0,,,,,27.0,22.0,4.0,,,,,,,,
