Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Andrews, Harris",12,7,3,15,,,,3.0,7.0,1.0,1.0,1.0,1.0,,,5.0,8.0,,,11.0,,,98.0
8,"Ashcroft, Will",12,2,14,26,,,,2.0,1.0,6.0,5.0,4.0,1.0,1.0,2.0,11.0,13.0,,,,,,79.0
33,"Bailey, Zac",12,2,6,18,,1.0,,2.0,2.0,5.0,1.0,7.0,1.0,4.0,,6.0,14.0,,,2.0,,3.0,80.0
7,"Berry, Jarrod",16,7,5,21,1,1.0,,,4.0,5.0,,2.0,,,,2.0,19.0,,1.0,2.0,,,84.0
23,"Cameron, Charlie",13,6,1,14,6,1.0,,4.0,,4.0,1.0,4.0,1.0,2.0,3.0,3.0,10.0,,4.0,1.0,,,84.0
18,"Coleman, Keidean",12,4,4,16,,,,2.0,2.0,5.0,2.0,3.0,,1.0,,3.0,11.0,,,1.0,,,76.0
3,"Daniher, Joe",14,6,6,20,2,,4.0,1.0,,6.0,2.0,2.0,2.0,1.0,,9.0,8.0,2.0,2.0,3.0,,,81.0
5,"Dunkley, Josh",12,6,13,25,,,,1.0,1.0,,7.0,5.0,,1.0,,14.0,12.0,1.0,,2.0,,,80.0
19 ↓,"Gunston, Jack",5,4,1,6,,,,1.0,1.0,1.0,,1.0,,1.0,,2.0,4.0,,,1.0,,1.0,75.0
30,"Hipwood, Eric",7,5,1,8,2,1.0,,1.0,,1.0,,4.0,,1.0,,1.0,7.0,,4.0,1.0,,2.0,76.0
41,"Joyce, Darragh",5,4,1,6,,,,,3.0,,,2.0,,1.0,,1.0,4.0,,,2.0,,,90.0
11,"McCarthy, Lincoln",6,2,5,11,,1.0,,3.0,,,2.0,4.0,1.0,2.0,,4.0,8.0,1.0,,2.0,,,80.0
6,"McCluggage, Hugh",9,4,13,22,,,,4.0,,6.0,4.0,5.0,,1.0,,10.0,11.0,,,,,1.0,88.0
46,"McInerney, Oscar",7,1,11,18,,,43.0,1.0,,5.0,11.0,4.0,5.0,1.0,,16.0,1.0,,,1.0,,,82.0
26,"McKenna, Conor",14,3,5,19,,,,5.0,4.0,,,1.0,,,,4.0,9.0,1.0,,2.0,,1.0,73.0
9,"Neale, Lachie",6,3,16,22,,1.0,,4.0,1.0,1.0,7.0,2.0,3.0,1.0,1.0,15.0,9.0,,,2.0,,,84.0
40,"Payne, Jack",5,4,2,7,,,,2.0,3.0,,,1.0,,1.0,,1.0,6.0,,,3.0,,,91.0
20,"Prior, Jaxon",11,4,1,12,1,,,2.0,4.0,1.0,3.0,3.0,1.0,,,2.0,7.0,,,2.0,,,83.0
16,"Rayner, Cam",11,5,6,17,4,1.0,,3.0,,4.0,,3.0,2.0,,,7.0,9.0,2.0,3.0,,,3.0,81.0
2 ↑,"Robertson, Deven",1,,,1,,,,,,1.0,,1.0,,,,,1.0,,,,,,9.0
37,"Starcevich, Brandon",8,2,8,16,,,,1.0,6.0,,,4.0,,1.0,,7.0,6.0,,,1.0,,,89.0
44,"Wilmot, Darcy",6,1,2,8,1,,,1.0,1.0,,,4.0,1.0,,,7.0,3.0,,1.0,3.0,,,64.0
15,"Zorko, Dayne",11,5,5,16,1,,,,4.0,2.0,,4.0,,2.0,,7.0,10.0,,1.0,4.0,,1.0,74.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,87,129,344,18,8.0,47.0,43.0,44.0,54.0,46.0,71.0,19.0,22.0,6.0,137.0,190.0,7.0,16.0,46.0,,12.0,
Opposition,Opposition,197,86,170,367,11,17.0,23.0,65.0,35.0,57.0,37.0,57.0,22.0,17.0,,136.0,232.0,10.0,10.0,47.0,8.0,5.0,
