North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Atley, Shaun",7,4,11,18,2,,,3.0,1.0,1.0,1.0,,,,,4.0,14.0,1.0,1.0,,1.0,,86.0
50,"Brown, Ben",7,4,3,10,3,,,,,1.0,,2.0,2.0,2.0,,6.0,3.0,2.0,3.0,2.0,,1.0,100.0
10,"Cunnington, Ben",14,5,19,33,,,,8.0,,4.0,11.0,3.0,4.0,1.0,,26.0,8.0,2.0,,,,,83.0
38,"Daw, Majak",4,1,1,5,,1.0,21.0,2.0,,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,,,3.0,,,93.0
27,"Garner, Taylor",6,2,9,15,1,,,9.0,,1.0,2.0,2.0,2.0,,,7.0,10.0,,,3.0,1.0,,83.0
43,"Gibson, Sam",6,5,10,16,,,,3.0,2.0,4.0,1.0,6.0,1.0,2.0,,6.0,9.0,,,1.0,,2.0,88.0
22,"Goldstein, Todd",2,,4,6,,,22.0,6.0,,,1.0,1.0,1.0,1.0,,3.0,3.0,,,,,,93.0
39,"Hibberd, Mitchell",1,,1,2,,,,1.0,,1.0,,1.0,,,,,2.0,,,1.0,,,7.0
4,"Higgins, Shaun",16,3,10,26,1,,,6.0,2.0,3.0,1.0,6.0,1.0,3.0,,4.0,21.0,1.0,,,,1.0,82.0
8,"Hrovat, Nathan",9,3,6,15,1,,,1.0,2.0,2.0,1.0,2.0,1.0,,,5.0,9.0,,,,,,80.0
11,"McDonald, Luke",13,9,11,24,,1.0,,3.0,4.0,5.0,1.0,3.0,2.0,1.0,,9.0,16.0,3.0,1.0,1.0,,,89.0
42,"Mountford, Declan",4,,7,11,,,,6.0,1.0,2.0,,3.0,,,,2.0,9.0,,,3.0,,,86.0
17,"Mullett, Aaron",15,3,12,27,,1.0,,3.0,9.0,2.0,,1.0,2.0,1.0,,6.0,16.0,,,1.0,,,90.0
26,"Nielson, Dan",5,6,4,9,,,,2.0,2.0,,,6.0,,5.0,,4.0,5.0,1.0,,7.0,,,97.0
21,"Simpkin, Jy",7,4,8,15,,1.0,,4.0,1.0,2.0,2.0,1.0,3.0,,,7.0,8.0,,1.0,,,,79.0
9,"Swallow, Andrew",11,2,13,24,,,,11.0,1.0,2.0,6.0,2.0,2.0,,,12.0,11.0,,,1.0,,,77.0
25,"Tarrant, Robbie",11,8,9,20,,,,2.0,2.0,1.0,,3.0,,2.0,,5.0,14.0,,,5.0,,,97.0
12,"Thomas, Lindsay",8,4,4,12,,,,2.0,1.0,2.0,1.0,1.0,,1.0,,2.0,9.0,,,3.0,,,83.0
16,"Thompson, Scott",2,1,8,10,,,,4.0,1.0,,,3.0,1.0,2.0,,4.0,8.0,,,6.0,,,91.0
41,"Wagner, Corey",7,1,5,12,,,,4.0,1.0,,,2.0,2.0,,,2.0,10.0,,,3.0,,,62.0
7,"Ziebell, Jack",11,4,5,16,,,,8.0,1.0,2.0,2.0,2.0,2.0,,,4.0,12.0,,,1.0,,,72.0
44,"Zurhaar, Cameron",4,1,2,6,,1.0,,3.0,,3.0,,3.0,1.0,,,4.0,2.0,,,,,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,170,70,162,332,8,9.0,43.0,91.0,31.0,39.0,31.0,54.0,28.0,22.0,,125.0,202.0,10.0,6.0,41.0,2.0,4.0,
Opposition,Opposition,236,108,173,409,19,13.0,47.0,58.0,28.0,55.0,48.0,65.0,22.0,28.0,6.0,161.0,247.0,14.0,22.0,46.0,7.0,13.0,
