Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",6,3,7,13,,,,3.0,3.0,1.0,1.0,1.0,,1.0,,8.0,7.0,,,5.0,2.0,,95.0
27,"Baird, John",5,2,6,11,,,,5.0,,3.0,,2.0,,,,2.0,9.0,,,3.0,2.0,,75.0
16,"Brown, Leigh",5,1,2,7,,,,2.0,2.0,1.0,1.0,3.0,1.0,2.0,,3.0,4.0,,,4.0,2.0,,95.0
2,"Colbert, Leigh",14,7,7,21,,,,1.0,2.0,2.0,1.0,4.0,3.0,1.0,,5.0,16.0,,,4.0,1.0,,97.0
24,"Firrito, Michael",8,4,2,10,,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,,,5.0,5.0,1.0,,2.0,1.0,,100.0
6,"Grant, Shannon",14,4,2,16,4,2.0,,2.0,1.0,6.0,3.0,1.0,3.0,1.0,,9.0,8.0,2.0,1.0,,,,96.0
31,"Hale, David",4,1,1,5,,,9.0,,2.0,3.0,1.0,1.0,2.0,,,4.0,2.0,,,2.0,,,59.0
39,"Harding, Leigh",3,1,4,7,1,,,2.0,1.0,1.0,,2.0,,1.0,,4.0,2.0,1.0,,1.0,,1.0,95.0
4,"Harris, Daniel",1,1,11,12,,,,2.0,1.0,,5.0,2.0,,1.0,,8.0,4.0,,,4.0,,,77.0
29,"Harvey, Brent",9,1,4,13,,,,3.0,1.0,3.0,,1.0,,1.0,,5.0,9.0,,,2.0,,,79.0
21,"Jones, Corey",10,2,5,15,3,1.0,2.0,,1.0,3.0,3.0,3.0,3.0,1.0,,12.0,4.0,1.0,2.0,2.0,,2.0,99.0
35,"Makepeace, Troy",8,1,2,10,1,,,2.0,4.0,2.0,1.0,1.0,,,,3.0,6.0,,,3.0,2.0,,86.0
20,"Petrie, Drew",4,3,4,8,,,17.0,2.0,1.0,,2.0,4.0,1.0,2.0,,5.0,3.0,,,5.0,1.0,,63.0
30,"Pratt, Daniel",7,3,5,12,,,,1.0,6.0,,,3.0,1.0,3.0,,6.0,6.0,,,3.0,,,68.0
3,"Rawlings, Brady",12,8,8,20,,,,3.0,3.0,2.0,2.0,2.0,,1.0,,5.0,15.0,1.0,,2.0,1.0,,94.0
26,"Rocca, Saverio",7,5,,7,,3.0,,,,4.0,1.0,,1.0,,,2.0,5.0,,1.0,3.0,,,90.0
7,"Simpson, Adam",11,3,9,20,,,,3.0,,2.0,5.0,3.0,,1.0,,8.0,11.0,1.0,,2.0,,,87.0
9,"Sinclair, Jess",6,2,4,10,,1.0,,1.0,4.0,1.0,,4.0,,2.0,,3.0,7.0,,,2.0,3.0,,56.0
23,"Thompson, Nathan",3,1,1,4,,,1.0,,2.0,1.0,1.0,,1.0,,,2.0,2.0,1.0,,1.0,2.0,,47.0
14,"Urch, Callum",7,2,3,10,,,,8.0,,1.0,,6.0,2.0,3.0,,5.0,5.0,,,,,,59.0
36,"Watt, Shannon",9,7,2,11,,,,,4.0,,1.0,1.0,,,,3.0,8.0,,,5.0,,,91.0
8,"Wells, Daniel",7,,4,11,,1.0,,7.0,2.0,2.0,3.0,,1.0,,,6.0,4.0,,,3.0,,1.0,93.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,160,62,93,253,9,10.0,30.0,50.0,44.0,39.0,32.0,46.0,20.0,21.0,,113.0,142.0,8.0,4.0,58.0,17.0,4.0,
Opposition,Opposition,197,99,109,306,15,11.0,33.0,43.0,32.0,56.0,28.0,40.0,21.0,20.0,6.0,118.0,187.0,13.0,19.0,37.0,9.0,9.0,
