Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
36,"Aliir, Aliir",24y 255d,37 (20-0-17 54.05%),1 (0.03),←,
22,"Blakey, Nick",19y 80d,8 (3-0-5 37.50%),7 (0.88),←,
4,"Clarke, Ryan",21y 335d,45 (18-0-27 40.00%),8 (0.18),5 (1-0-4 20.00%),
34,"Dawson, Jordan",22y 39d,13 (5-0-8 38.46%),12 (0.92),←,
13,"Florent, Oliver",20y 300d,41 (21-0-20 51.22%),19 (0.46),←,
42,"Fox, Robbie",26y 32d,16 (6-0-10 37.50%),6 (0.38),←,
9,"Hayward, Will",20y 204d,46 (27-0-19 58.70%),58 (1.26),←,
5,"Heeney, Isaac",23y 13d,89 (59-0-30 66.29%),92 (1.03),←,
29,"Hewett, George",23y 140d,80 (51-0-29 63.75%),30 (0.38),←,
10,"Jones, Zak",24y 64d,82 (47-0-35 57.32%),21 (0.26),←,
44,"Lloyd, Jake",25y 240d,124 (83-0-41 66.94%),28 (0.23),←,
30,"McCartin, Tom",19y 139d,22 (12-0-10 54.55%),12 (0.55),←,
43,"Melican, Lewis",22y 195d,26 (17-0-9 65.38%),1 (0.04),←,
14,"Mills, Callum",22y 46d,64 (39-0-25 60.94%),3 (0.05),←,
38,"ORiordan, Colin",23y 218d,6 (3-0-3 50.00%),1 (0.17),←,
11,"Papley, Tom",22y 309d,69 (45-0-24 65.22%),97 (1.41),←,
26,"Parker, Luke",26y 205d,182 (119-1-62 65.66%),146 (0.80),←,
24,"Rampe, Dane",28y 350d,147 (98-1-48 67.01%),6 (0.04),←,
20,"Reid, Sam",27y 142d,130 (87-2-41 67.69%),133 (1.02),←,
8,"Rowbottom, James",18y 241d,3 (1-0-2 33.33%),,←,
18,"Sinclair, Callum",29y 237d,96 (63-1-32 66.15%),57 (0.59),67 (41-0-26 61.19%),39 (0.58)
6,"Thurlow, Jackson",25y 51d,53 (31-1-21 59.43%),11 (0.21),7 (3-0-4 42.86%),
Totals,Totals,23y 208d,1379 (855-6-518 62.00%),749 (0.54),,
C,"Longmire, John",48y 138d,205 (134-2-69 65.85%),,←,
