Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",12,5,14,26,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
32,"Baldwin, Jason",7,8,11,18,,,,2.0,,,,,2.0,,,,,,,,,,
5,"Barker, John",14,8,7,21,,,,2.0,,,,,1.0,,,,,,,,,,
14,"Bizzotto, Frank",8,6,5,13,1,,,,,,,,,3.0,,,,,,,,,
1,"Boyd, Brad",13,4,5,18,,,1.0,2.0,,,,,,1.0,,,,,,,,,
21,"Cavedon, Andrew",3,1,4,7,1,,,,,,,,1.0,1.0,,,,,,,,,
27,"Chandler, Brett",7,2,7,14,,,,3.0,,,,,,1.0,,,,,,,,,
35,"Cook, Brett",2,3,2,4,,,4.0,2.0,,,,,,1.0,,,,,,,,,
24,"Cummings, Trent",1,,2,3,1,,,,,,,,,,,,,,,,,,
31,"Dent, Matthew",16,6,3,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
3,"Hawkins, Doug",14,5,11,25,,,,2.0,,,,,2.0,,,,,,,,,,
36,"Lamb, Wayne",12,4,3,15,1,1.0,,4.0,,,,,1.0,2.0,,,,,,,,,
25,"McCarthy, John",6,2,11,17,,,,3.0,,,,,2.0,1.0,,,,,,,,,
11,"McGregor, Anthony",6,1,,6,,1.0,,,,,,,,2.0,,,,,,,,,
18,"Mitchell, Nick",10,,5,15,,,,3.0,,,,,1.0,,,,,,,,,,
7,"Molloy, Jarrod",8,6,8,16,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
4,"Paxman, Stephen",10,4,4,14,,,,1.0,,,,,4.0,1.0,,,,,,,,,
8,"Pike, Martin",4,2,8,12,1,1.0,,,,,,,1.0,1.0,,,,,,,,,
22,"Stretch, Steven",5,2,1,6,1,2.0,,2.0,,,,,2.0,,,,,,,,,,
33,"Warfe, Rowan",3,5,11,14,,,,2.0,,,,,,,,,,,,,,,
16,"Zanotti, Mark",20,7,5,25,1,,,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,181,81,127,308,8,8.0,6.0,33.0,,,,,20.0,17.0,,,,,,,,,
Opposition,Opposition,222,103,168,390,18,17.0,16.0,28.0,,,,,20.0,19.0,6.0,,,,,,,,
