Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",29y 326d,256 (140-2-114 55.08%),339 (1.32),64 (16-0-48 25.00%),77 (1.20)
36,"Broughton, Greg",27y 188d,88 (37-0-51 42.05%),17 (0.19),20 (8-0-12 40.00%),2 (0.10)
27,"Cameron, Clay",19y 313d,3 (2-0-1 66.67%),,←,
12,"Day, Sam",21y 211d,45 (12-0-33 26.67%),32 (0.71),←,
33,"Hall, Aaron",23y 147d,33 (12-0-21 36.36%),33 (1.00),←,
5,"Harbrow, Jarrod",25y 261d,129 (56-1-72 43.80%),39 (0.30),59 (16-0-43 27.12%),18 (0.31)
28,"Kolodjashnij, Kade",18y 239d,2 (1-0-1 50.00%),1 (0.50),←,
40,"Lemmens, Sean",19y 154d,3 (2-0-1 66.67%),1 (0.33),←,
19,"Lynch, Tom",21y 156d,41 (10-0-31 24.39%),39 (0.95),←,
32,"Matera, Brandon",22y 25d,42 (11-0-31 26.19%),37 (0.88),←,
17,"May, Steven",22y 85d,37 (10-0-27 27.03%),15 (0.41),←,
18,"McKenzie, Trent",22y 2d,60 (15-0-45 25.00%),19 (0.32),←,
22,"Nicholls, Tom",22y 32d,12 (4-0-8 33.33%),2 (0.17),←,
1,"OMeara, Jaeger",20y 41d,25 (10-0-15 40.00%),18 (0.72),←,
10,"Prestia, Dion",21y 175d,54 (12-0-42 22.22%),13 (0.24),←,
35,"Rischitelli, Michael",28y 87d,160 (59-3-98 37.81%),69 (0.43),49 (10-0-39 20.41%),22 (0.45)
8,"Russell, Luke",22y 71d,44 (8-0-36 18.18%),17 (0.39),←,
26,"Shaw, Matt",22y 59d,55 (13-0-42 23.64%),21 (0.38),←,
25,"Stanley, Danny",26y 46d,61 (16-0-45 26.23%),33 (0.54),56 (15-0-41 26.79%),33 (0.59)
24,"Swallow, David",21y 137d,54 (13-0-41 24.07%),25 (0.46),←,
16,"Thompson, Rory",23y 24d,36 (10-0-26 27.78%),7 (0.19),←,
14,"Warnock, Matthew",30y 2d,83 (17-1-65 21.08%),1 (0.01),28 (6-0-22 21.43%),
Totals,Totals,23y 77d,1323 (470-7-846 35.53%),778 (0.59),,
C,"McKenna, Guy",44y 329d,69 (16-0-53 23.19%),,←,
