Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
20,"Brogan, Dean",29y 260d,122 (77-1-44 63.52%),38 (0.31),←,
7,"Burgoyne, Peter",30y 214d,225 (126-3-96 56.67%),189 (0.84),←,
8,"Burgoyne, Shaun",25y 314d,148 (94-0-54 63.51%),167 (1.13),←,
27,"Carlile, Alipate",21y 122d,32 (14-0-18 43.75%),,←,
25,"Cassisi, Domenic",25y 343d,128 (75-1-52 58.98%),54 (0.42),←,
18,"Cornes, Kane",25y 238d,162 (96-1-65 59.57%),69 (0.43),←,
33,"Ebert, Brett",24y 286d,98 (49-1-48 50.51%),148 (1.51),←,
17,"Gray, Robbie",20y 153d,15 (6-0-9 40.00%),22 (1.47),←,
5,"Lade, Brendon",32y 51d,212 (119-3-90 56.84%),166 (0.78),←,
44,"Logan, Tom",23y 59d,39 (16-0-23 41.03%),9 (0.23),36 (16-0-20 44.44%),9 (0.25)
12,"Lonie, Nathan",25y 179d,104 (39-0-65 37.50%),51 (0.49),40 (19-0-21 47.50%),16 (0.40)
26,"Lower, Nick",21y 68d,15 (5-0-10 33.33%),,←,
4,"Motlop, Daniel",26y 167d,97 (42-1-54 43.81%),160 (1.65),50 (22-0-28 44.00%),107 (2.14)
11,"Motlop, Marlon",18y 135d,2 (2-0-0 100.00%),1 (0.50),←,
16,"Pearce, Danyle",22y 145d,71 (33-0-38 46.48%),42 (0.59),←,
15,"Rodan, David",24y 327d,112 (43-0-69 38.39%),93 (0.83),47 (24-0-23 51.06%),50 (1.06)
14,"Stewart, Paul",21y 51d,11 (3-0-8 27.27%),1 (0.09),←,
9,"Surjan, Jacob",23y 15d,66 (35-0-31 53.03%),11 (0.17),←,
28,"Thurstans, Toby",28y 16d,99 (59-1-39 60.10%),55 (0.56),←,
39,"Westhoff, Justin",21y 334d,37 (18-0-19 48.65%),56 (1.51),←,
40,"Westhoff, Matthew",20y 86d,3 (2-0-1 66.67%),3 (1.00),←,
24,"White, Damon",25y 14d,55 (27-1-27 50.00%),47 (0.85),←,
Totals,Totals,24y 163d,1853 (980-13-860 52.89%),1382 (0.75),,
C,"Williams, Mark",50y 9d,236 (136-2-98 58.05%),,←,
