Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
16,"Croft, Matthew",23y 33d,36 (21-1-14 59.72%),17 (0.47),←,
11,"Curley, Todd",23y 76d,4 (2-0-2 50.00%),3 (0.75),1 (0-0-1 0.00%),2 (2.00)
14,"Darcy, Luke",20y 262d,5 (1-0-4 20.00%),,←,
3,"Grant, Chris",23y 108d,123 (65-2-56 53.66%),261 (2.12),←,
1,"Grgic, Ilija",24y 25d,54 (30-1-23 56.48%),87 (1.61),←,
37,"Hargraves, Daniel",20y 66d,18 (9-0-9 50.00%),23 (1.28),←,
10,"Hunter, Mark",30y 209d,122 (59-2-61 49.18%),9 (0.07),←,
6,"Johnson, Brad",19y 256d,31 (14-1-16 46.77%),18 (0.58),←,
4,"Kellett, Nigel",26y 103d,79 (41-1-37 52.53%),37 (0.47),←,
2,"Kolyniuk, Steven",25y 269d,108 (55-1-52 51.39%),122 (1.13),←,
39,"Liberatore, Tony",30y 48d,152 (83-2-67 55.26%),75 (0.49),←,
23,"Martin, Michael",19y 34d,4 (0-0-4 0.00%),1 (0.25),←,
44,"Osborne, Richard",31y 288d,245 (103-1-141 42.24%),535 (2.18),42 (22-1-19 53.57%),85 (2.02)
38,"Sir, Sedat",21y 24d,7 (2-0-5 28.57%),,←,
5,"Smith, Rohan",22y 304d,54 (30-1-23 56.48%),25 (0.46),←,
17,"Standfield, Barry",26y 46d,96 (52-1-43 54.69%),38 (0.40),←,
33,"Taylor, Scott",19y 160d,1 (0-0-1 0.00%),,←,
24,"Wallis, Stephen",31y 155d,241 (126-3-112 52.90%),57 (0.24),←,
7,"West, Scott",21y 137d,64 (33-1-30 52.34%),36 (0.56),←,
45,"Wira, Brad",24y 14d,2 (0-0-2 0.00%),,1 (0-0-1 0.00%),
15,"Wynd, Scott",26y 65d,127 (64-2-61 51.18%),24 (0.19),←,
Totals,Totals,24y 110d,1573 (790-20-763 50.22%),1368 (0.87),,
C,"Joyce, Alan",53y 161d,139 (90-1-48 65.11%),,46 (23-1-22 51.09%),
