Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",27y 70d,207 (127-2-78 61.84%),277 (1.34),15 (3-0-12 20.00%),15 (1.00)
37,"Bennell, Harley",18y 294d,8 (2-0-6 25.00%),5 (0.63),←,
44,"Bock, Nathan",28y 125d,128 (63-0-65 49.22%),58 (0.45),15 (3-0-12 20.00%),1 (0.07)
3,"Brennan, Jared",26y 360d,135 (58-3-74 44.07%),85 (0.63),16 (3-0-13 18.75%),10 (0.63)
30,"Brown, Campbell",27y 329d,171 (76-1-94 44.74%),64 (0.37),12 (1-0-11 8.33%),
17,"Fraser, Josh",29y 199d,211 (112-1-98 53.32%),164 (0.78),11 (2-0-9 18.18%),8 (0.73)
5,"Harbrow, Jarrod",23y 5d,86 (43-1-42 50.58%),22 (0.26),16 (3-0-13 18.75%),1 (0.06)
36,"Iles, Sam",24y 34d,20 (7-0-13 35.00%),8 (0.40),13 (3-0-10 23.08%),8 (0.62)
14,"Krakouer, Nathan",23y 79d,50 (22-0-28 44.00%),15 (0.30),10 (1-0-9 10.00%),8 (0.80)
33,"Liddy, Rex",19y 202d,4 (1-0-3 25.00%),,←,
46,"Lynch, Tom",18y 265d,10 (2-0-8 20.00%),15 (1.50),←,
18,"McKenzie, Trent",19y 111d,15 (3-0-12 20.00%),10 (0.67),←,
41,"Prestia, Dion",18y 284d,12 (1-0-11 8.33%),1 (0.08),←,
35,"Rischitelli, Michael",25y 196d,126 (52-3-71 42.46%),53 (0.42),15 (3-0-12 20.00%),6 (0.40)
26,"Shaw, Matt",19y 168d,10 (2-0-8 20.00%),3 (0.30),←,
2,"Smith, Zac",21y 151d,15 (3-0-12 20.00%),10 (0.67),←,
25,"Stanley, Danny",23y 155d,21 (4-0-17 19.05%),14 (0.67),16 (3-0-13 18.75%),14 (0.88)
24,"Swallow, David",18y 246d,15 (3-0-12 20.00%),9 (0.60),←,
16,"Thompson, Rory",20y 133d,3 (1-0-2 33.33%),,←,
20,"Toy, Josh",19y 96d,7 (3-0-4 42.86%),1 (0.14),←,
4,"Weller, Maverick",19y 160d,9 (1-0-8 11.11%),2 (0.22),←,
38,"Wilkinson, Joel",19y 236d,5 (1-0-4 20.00%),1 (0.20),←,
Totals,Totals,22y 144d,1268 (587-11-670 46.29%),817 (0.64),,
C,"McKenna, Guy",42y 73d,16 (3-0-13 18.75%),,←,
