Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
30,"Ackland, Cain",19y 78d,10 (8-0-2 80.00%),2 (0.20),←,
7,"Burgoyne, Peter",23y 124d,76 (34-2-40 46.05%),73 (0.96),←,
25,"Carr, Josh",21y 34d,24 (14-1-9 60.42%),10 (0.42),←,
12,"Cockatoo-Collins, Che",26y 89d,109 (62-3-44 58.26%),156 (1.43),24 (15-0-9 62.50%),47 (1.96)
35,"Cornes, Chad",21y 202d,37 (18-1-18 50.00%),33 (0.89),←,
39,"Cornes, Kane",18y 148d,1 (1-0-0 100.00%),,←,
17,"Dew, Stuart",21y 288d,62 (29-2-31 48.39%),81 (1.31),←,
8,"Francis, Fabian",27y 221d,95 (43-2-50 46.32%),48 (0.51),72 (36-2-34 51.39%),31 (0.43)
10,"Francou, Josh",26y 299d,94 (44-3-47 48.40%),48 (0.51),←,
38,"James, Roger",25y 224d,63 (31-2-30 50.79%),44 (0.70),←,
29,"Kingsley, Adam",25y 286d,82 (40-2-40 50.00%),19 (0.23),←,
9,"Lyle, Brayden",28y 88d,113 (54-3-56 49.12%),17 (0.15),87 (40-3-44 47.70%),12 (0.14)
33,"Mead, Darren",30y 65d,96 (45-3-48 48.44%),7 (0.07),←,
3,"Montgomery, Brett",28y 1d,92 (55-2-35 60.87%),72 (0.78),32 (15-1-16 48.44%),18 (0.56)
14,"Paxman, Stephen",30y 180d,195 (65-2-128 33.85%),31 (0.16),93 (43-2-48 47.31%),13 (0.14)
1,"Primus, Matthew",26y 141d,92 (35-2-55 39.13%),29 (0.32),72 (34-2-36 48.61%),24 (0.33)
6,"Schofield, Jarrad",26y 123d,112 (63-1-48 56.70%),78 (0.70),49 (24-1-24 50.00%),44 (0.90)
36,"Stevens, Nick",21y 150d,67 (32-2-33 49.25%),41 (0.61),←,
16,"Tredrea, Warren",22y 160d,68 (32-1-35 47.79%),123 (1.81),←,
2,"Wakelin, Darryl",26y 295d,125 (61-1-63 49.20%),8 (0.06),10 (8-0-2 80.00%),
4,"Wanganeen, Gavin",27y 349d,198 (110-5-83 56.82%),120 (0.61),71 (37-2-32 53.52%),57 (0.80)
15,"Wilson, Michael",24y 193d,97 (46-3-48 48.97%),33 (0.34),←,
Totals,Totals,25y 4d,1908 (922-43-943 48.32%),1073 (0.56),,
C,"Williams, Mark",42y 285d,55 (27-1-27 50.00%),,←,
