North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
5,"Anderson, Stuart",22y 8d,32 (23-0-9 71.88%),8 (0.25),←,
11,"Archer, Glenn",23y 103d,86 (52-0-34 60.47%),58 (0.67),←,
14,"Armstrong, Matt",29y 126d,168 (77-0-91 45.83%),87 (0.52),36 (25-0-11 69.44%),16 (0.44)
26,"Bell, Peter",20y 126d,14 (9-0-5 64.29%),14 (1.00),12 (9-0-3 75.00%),12 (1.00)
12,"Blakey, John",29y 347d,214 (102-0-112 47.66%),69 (0.32),79 (50-0-29 63.29%),31 (0.39)
18,"Carey, Wayne",25y 39d,137 (81-0-56 59.12%),346 (2.53),←,
25,"Daniltchenko, Jason",20y 307d,22 (16-0-6 72.73%),15 (0.68),←,
28,"Dwyer, Anthony",26y 186d,30 (14-0-16 46.67%),27 (0.90),←,
6,"Fairley, Ian",31y 291d,207 (109-2-96 53.14%),148 (0.71),←,
17,"Freeborn, Glenn",23y 150d,22 (16-0-6 72.73%),13 (0.59),←,
34,"King, David",24y 120d,55 (36-0-19 65.45%),13 (0.24),←,
7,"Laidley, Dani",29y 100d,129 (78-1-50 60.85%),13 (0.10),77 (49-0-28 63.64%),2 (0.03)
41,"Lissenden, Eric",24y 186d,1 (1-0-0 100.00%),1 (1.00),←,
4,"Martyn, Mick",27y 309d,165 (90-1-74 54.85%),14 (0.08),←,
31,"McKernan, Corey",22y 199d,60 (41-0-19 68.33%),58 (0.97),←,
22,"Roberts, Mark",31y 7d,155 (76-0-79 49.03%),131 (0.85),78 (50-0-28 64.10%),112 (1.44)
3,"Rock, Anthony",25y 280d,126 (75-0-51 59.52%),104 (0.83),←,
2,"Schwass, Wayne",27y 221d,153 (82-0-71 53.59%),88 (0.58),←,
8,"Scott, Robert",27y 126d,170 (101-1-68 59.71%),189 (1.11),38 (26-0-12 68.42%),25 (0.66)
37,"Simpson, Adam",20y 140d,16 (13-0-3 81.25%),11 (0.69),←,
10,"Stevens, Anthony",25y 3d,121 (70-0-51 57.85%),61 (0.50),←,
Totals,Totals,25y 230d,2083 (1162-5-916 55.78%),1468 (0.70),,
C,"Pagan, Denis",48y 285d,84 (54-0-30 64.29%),,←,
