Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",28y 270d,150 (80-0-70 53.33%),21 (0.14),←,
35,"Biglands, Rhett",27y 364d,109 (63-0-46 57.80%),39 (0.36),←,
24,"Burton, Brett",27y 122d,116 (60-0-56 51.72%),142 (1.22),←,
4,"Clarke, Matthew",31y 350d,228 (111-2-115 49.12%),34 (0.15),98 (49-0-49 50.00%),15 (0.15)
11,"Doughty, Michael",26y 29d,75 (47-0-28 62.67%),21 (0.28),←,
9,"Edwards, Tyson",29y 28d,219 (117-0-102 53.42%),139 (0.63),←,
36,"Goodwin, Simon",28y 251d,168 (94-0-74 55.95%),97 (0.58),←,
34,"Hart, Ben",31y 56d,296 (157-1-138 53.21%),45 (0.15),←,
37,"Hentschel, Trent",22y 252d,40 (23-0-17 57.50%),38 (0.95),←,
18,"Johncock, Graham",22y 317d,83 (46-0-37 55.42%),71 (0.86),←,
3,"Massie, Kris",25y 96d,87 (47-0-40 54.02%),21 (0.24),44 (21-0-23 47.73%),9 (0.20)
39,"Mattner, Martin",23y 28d,55 (33-0-22 60.00%),8 (0.15),←,
16,"McGregor, Ken",24y 217d,115 (60-0-55 52.17%),66 (0.57),←,
23,"McLeod, Andrew",29y 30d,238 (126-0-112 52.94%),234 (0.98),←,
22,"Perrie, Ian",26y 147d,92 (53-0-39 57.61%),101 (1.10),←,
33,"Reilly, Brent",21y 295d,44 (27-0-17 61.36%),16 (0.36),←,
25,"Rutten, Ben",22y 98d,34 (23-0-11 67.65%),3 (0.09),←,
12,"Shirley, Robert",25y 86d,73 (40-0-33 54.79%),15 (0.21),←,
14,"Skipworth, Hayden",22y 190d,36 (19-0-17 52.78%),20 (0.56),←,
5,"Thompson, Scott",22y 173d,61 (35-0-26 57.38%),44 (0.72),22 (17-0-5 77.27%),27 (1.23)
7,"van Berlo, Nathan",19y 89d,11 (9-0-2 81.82%),1 (0.09),←,
17,"Welsh, Scott",26y 270d,136 (81-0-55 59.56%),233 (1.71),100 (55-0-45 55.00%),203 (2.03)
Totals,Totals,25y 254d,2466 (1351-3-1112 54.79%),1409 (0.57),,
C,"Craig, Neil",49y 235d,32 (21-0-11 65.63%),,←,
