Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
28,"Daniher, Darcy",19y 196d,4 (1-0-3 25.00%),,←,
29,"Davey, Alwyn",24y 325d,21 (11-0-10 52.38%),21 (1.00),←,
15,"Dempsey, Courtenay",21y 220d,12 (2-0-10 16.67%),5 (0.42),←,
2,"Dyson, Ricky",23y 189d,66 (23-1-42 35.61%),31 (0.47),←,
31,"Fletcher, Dustin",33y 333d,296 (181-3-112 61.66%),65 (0.22),←,
19,"Hille, David",27y 307d,146 (67-1-78 46.23%),107 (0.73),←,
39,"Hocking, Heath",21y 99d,6 (2-0-4 33.33%),1 (0.17),←,
18,"Lloyd, Matthew",30y 354d,254 (147-2-105 58.27%),891 (3.51),←,
13,"Lovett, Andrew",26y 145d,68 (21-1-46 31.62%),74 (1.09),←,
25,"Lucas, Scott",31y 96d,258 (143-2-113 55.81%),451 (1.75),←,
33,"McPhee, Adam",26y 181d,148 (58-0-90 39.19%),80 (0.54),123 (52-0-71 42.28%),71 (0.58)
6,"Monfries, Angus",22y 76d,74 (24-1-49 33.11%),68 (0.92),←,
23,"Myers, David",19y 279d,9 (4-0-5 44.44%),1 (0.11),←,
16,"Pears, Tayte",19y 12d,7 (1-0-6 14.29%),3 (0.43),←,
41,"Quinn, Michael",19y 69d,1 (1-0-0 100.00%),,←,
30,"Ryder, Paddy",21y 22d,54 (20-1-33 37.96%),12 (0.22),←,
21,"Skipworth, Hayden",26y 39d,46 (26-0-20 56.52%),24 (0.52),2 (1-0-1 50.00%),2 (1.00)
20,"Slattery, Henry",23y 73d,54 (20-1-33 37.96%),10 (0.19),←,
5,"Stanton, Brent",22y 339d,100 (35-1-64 35.50%),62 (0.62),←,
4,"Watson, Jobe",24y 56d,74 (28-1-45 38.51%),24 (0.32),←,
8,"Winderlich, Jason",24y 177d,58 (20-0-38 34.48%),23 (0.40),←,
11,"Zaharakis, David",19y 43d,1 (1-0-0 100.00%),,←,
Totals,Totals,24y 16d,1757 (836-15-906 47.58%),1953 (1.11),,
C,"Knights, Matthew",38y 182d,24 (9-0-15 37.50%),,←,
