Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Bolton, Mark",5,4,2,7,2,,,4.0,,1.0,,,1.0,,,4.0,3.0,1.0,1.0,2.0,,1.0,96.0
29,"Davey, Alwyn",6,,2,8,,,,4.0,2.0,2.0,,2.0,,,,2.0,6.0,,,2.0,1.0,1.0,88.0
31,"Fletcher, Dustin",23,12,7,30,,,,,8.0,3.0,,3.0,1.0,1.0,,8.0,19.0,,,6.0,,,100.0
19,"Hille, David",5,4,8,13,,,22.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,,7.0,7.0,1.0,,,,,81.0
5,"Hird, James",17,7,5,22,,1.0,,2.0,1.0,6.0,3.0,1.0,4.0,,3.0,8.0,14.0,1.0,1.0,1.0,,1.0,75.0
43,"Houli, Bachar",1,1,3,4,,,,1.0,,,,2.0,,,,,4.0,,,,,,31.0
14,"Johnson, Jason",15,9,6,21,,,,3.0,2.0,3.0,3.0,3.0,,,,5.0,16.0,,,1.0,,,80.0
1,"Johnson, Mark",13,3,3,16,1,,,3.0,2.0,4.0,,2.0,1.0,,,5.0,11.0,1.0,,2.0,2.0,1.0,95.0
27,"Laycock, Jason",3,2,4,7,,,4.0,,,1.0,1.0,1.0,,,,4.0,3.0,1.0,,,,,47.0
18,"Lloyd, Matthew",10,5,4,14,3,2.0,,3.0,1.0,1.0,,3.0,1.0,3.0,,2.0,11.0,,3.0,3.0,,,100.0
25,"Lucas, Scott",10,5,4,14,,1.0,,1.0,,2.0,,2.0,1.0,1.0,,6.0,8.0,1.0,2.0,,,,97.0
33,"McPhee, Adam",16,7,8,24,,1.0,,3.0,3.0,2.0,1.0,8.0,1.0,5.0,,7.0,17.0,1.0,1.0,2.0,4.0,,87.0
10,"McVeigh, Mark",13,5,8,21,2,,,5.0,4.0,4.0,2.0,3.0,1.0,2.0,,10.0,11.0,,1.0,1.0,2.0,1.0,95.0
22,"Michael, Mal",8,2,5,13,,,,2.0,7.0,1.0,,1.0,4.0,,,7.0,6.0,,,7.0,,,100.0
6,"Monfries, Angus",6,2,6,12,,,,3.0,,,3.0,,2.0,,,7.0,5.0,,1.0,,,,64.0
38,"Nash, Jay",5,2,3,8,,,,3.0,1.0,3.0,2.0,,,,,3.0,5.0,,,,,,55.0
30,"Ryder, Paddy",10,7,3,13,,,,,6.0,2.0,,2.0,,1.0,,,13.0,,,8.0,1.0,,100.0
20,"Slattery, Henry",3,,5,8,,,,8.0,,,3.0,2.0,2.0,2.0,,6.0,3.0,,,,,,80.0
24,"Stanton, Brent",14,4,4,18,1,,,,,8.0,2.0,,1.0,,,6.0,12.0,1.0,,,,,83.0
4,"Watson, Jobe",9,4,9,18,1,,,3.0,3.0,3.0,5.0,2.0,,1.0,2.0,9.0,7.0,,,,,,84.0
12,"Welsh, Andrew",7,4,5,12,1,,,4.0,3.0,,1.0,3.0,1.0,,,6.0,6.0,,,1.0,,1.0,80.0
8,"Winderlich, Jason",15,13,5,20,,1.0,,2.0,2.0,5.0,1.0,3.0,,,,4.0,16.0,,,1.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,214,102,109,323,11,8.0,26.0,57.0,46.0,53.0,31.0,46.0,22.0,18.0,5.0,116.0,203.0,8.0,10.0,37.0,10.0,6.0,
Opposition,Opposition,219,107,139,358,11,7.0,40.0,39.0,40.0,59.0,38.0,64.0,18.0,22.0,1.0,131.0,229.0,9.0,10.0,37.0,19.0,10.0,
