Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Baldwin, Jason",16,,4,20,,,,3.0,,,,,5.0,3.0,,,,,,,,,
18,"Blakey, John",7,5,4,11,,,,,,,,,1.0,,,,,,,,,,
41,"Bourke, Peter",1,,1,2,,,,1.0,,,,,,2.0,,,,,,,,,
5,"Brockhurst, Andrew",9,4,6,15,,,,,,,,,2.0,1.0,,,,,,,,,
17,"Broderick, Paul",9,5,11,20,,,,3.0,,,,,1.0,1.0,,,,,,,,,
40,"Clayton, Scott",19,8,7,26,,1.0,,1.0,,,,,,2.0,,,,,,,,,
4,"Delaney, Roger",3,1,,3,,,,,,,,,,,,,,,,,,,
2,"Dilena, Carl",8,3,9,17,1,,,1.0,,,,,1.0,,,,,,,,,,
6,"Ironmonger, John",6,1,5,11,,1.0,5.0,,,,,,3.0,2.0,,,,,,,,,
12,"Kickett, Dale",7,4,6,13,,,,1.0,,,,,3.0,2.0,,,,,,,,,
27,"Lupson, Dean",7,5,5,12,,1.0,,,,,,,,2.0,,,,,,,,,
11,"Lynch, Alastair",8,5,2,10,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
29,"Lyon, Ross",11,2,,11,1,,,,,,,,,,,,,,,,,,
16,"Matera, Wally",16,2,6,22,2,2.0,,3.0,,,,,7.0,3.0,,,,,,,,,
22,"McCormack, Brendan",6,1,3,9,2,,,3.0,,,,,3.0,2.0,,,,,,,,,
9,"Rendell, Matthew",7,5,5,12,1,,5.0,1.0,,,,,1.0,,,,,,,,,,
1,"Roos, Paul",14,5,4,18,1,3.0,,2.0,,,,,1.0,2.0,,,,,,,,,
33,"Stephens, Brett",10,1,7,17,,,,,,,,,4.0,2.0,,,,,,,,,
30,"Waterson, Chris",14,5,4,18,,1.0,,1.0,,,,,3.0,3.0,,,,,,,,,
34,"Woods, Tony",9,5,5,14,,,,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,187,67,94,281,8,12.0,10.0,23.0,,,,,37.0,29.0,,,,,,,,,
Opposition,Opposition,232,79,99,331,20,21.0,15.0,23.0,,,,,29.0,37.0,6.0,,,,,,,,
