St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
8,"Acres, Blake",21y 252d,37 (17-0-20 45.95%),16 (0.43),←,
15,"Billings, Jack",21y 302d,54 (20-0-34 37.04%),40 (0.74),←,
22,"Brown, Nathan",28y 181d,142 (82-1-59 58.10%),7 (0.05),12 (6-0-6 50.00%),
27,"Bruce, Josh",25y 8d,78 (27-1-50 35.26%),114 (1.46),64 (26-1-37 41.41%),111 (1.73)
2,"Carlisle, Jake",25y 258d,97 (46-0-51 47.42%),55 (0.57),12 (6-0-6 50.00%),1 (0.08)
7,"Dunstan, Luke",22y 138d,61 (24-1-36 40.16%),30 (0.49),←,
14,"Geary, Jarryn",28y 358d,153 (81-1-71 53.27%),25 (0.16),←,
19,"Gilbert, Sam",30y 301d,191 (107-5-79 57.33%),36 (0.19),←,
4,"Gresham, Jade",19y 296d,30 (16-0-14 53.33%),26 (0.87),←,
18,"Longer, Billy",24y 35d,51 (13-0-38 25.49%),2 (0.04),42 (11-0-31 26.19%),2 (0.05)
13,"Lonie, Jack",20y 307d,32 (12-0-20 37.50%),25 (0.78),←,
28,"Membrey, Tim",23y 21d,42 (21-1-20 51.19%),70 (1.67),41 (20-1-20 50.00%),70 (1.71)
11,"Montagna, Leigh",33y 226d,282 (149-5-128 53.72%),153 (0.54),←,
16,"Newnes, Jack",24y 112d,103 (37-1-65 36.41%),28 (0.27),←,
12,"Riewoldt, Nick",34y 242d,328 (163-6-159 50.61%),706 (2.15),←,
17,"Roberton, Dylan",25y 360d,114 (51-0-63 44.74%),19 (0.17),77 (29-0-48 37.66%),14 (0.18)
6,"Ross, Sebastian",24y 40d,71 (26-1-44 37.32%),11 (0.15),←,
35,"Sinclair, Jack",22y 124d,34 (14-0-20 41.18%),23 (0.68),←,
3,"Steven, Jack",27y 80d,144 (56-2-86 39.58%),93 (0.65),←,
25,"Stevens, Koby",25y 363d,80 (33-0-47 41.25%),37 (0.46),6 (3-0-3 50.00%),3 (0.50)
29,"Webster, Jimmy",23y 353d,60 (20-1-39 34.17%),2 (0.03),←,
44,"Weller, Maverick",25y 123d,101 (30-1-70 30.20%),50 (0.50),69 (24-1-44 35.51%),47 (0.68)
Totals,Totals,25y 170d,2285 (1045-27-1213 45.73%),1568 (0.69),,
C,"Richardson, Alan",52y 30d,79 (28-1-50 36.08%),,78 (28-1-49 36.54%),
