Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Ball, Luke",29y 48d,200 (136-1-63 68.25%),84 (0.42),58 (46-1-11 80.17%),26 (0.45)
17,"Beams, Dayne",23y 150d,84 (63-2-19 76.19%),89 (1.06),←,
11,"Blair, Jarryd",23y 89d,74 (56-1-17 76.35%),60 (0.81),←,
16,"Brown, Nathan",24y 207d,83 (53-1-29 64.46%),7 (0.08),←,
32,"Cloke, Travis",26y 129d,188 (122-2-64 65.43%),326 (1.73),←,
41,"Dwyer, Sam",26y 317d,13 (8-0-5 61.54%),13 (1.00),←,
19,"Elliott, Jamie",20y 325d,29 (20-0-9 68.97%),26 (0.90),←,
25,"Hudson, Ben",34y 138d,167 (98-1-68 58.98%),19 (0.11),6 (3-0-3 50.00%),1 (0.17)
7,"Krakouer, Andrew",30y 158d,136 (61-0-75 44.85%),152 (1.12),34 (27-0-7 79.41%),50 (1.47)
3,"Macaffer, Brent",25y 134d,44 (31-2-11 72.73%),26 (0.59),←,
5,"Maxwell, Nick",30y 39d,190 (123-2-65 65.26%),29 (0.15),←,
10,"Pendlebury, Scott",25y 186d,163 (110-2-51 68.10%),109 (0.67),←,
20,"Reid, Ben",24y 74d,87 (60-2-25 70.11%),14 (0.16),←,
40,"Seedsman, Paul",21y 171d,24 (16-0-8 66.67%),8 (0.33),←,
39,"Shaw, Heath",27y 227d,165 (106-2-57 64.85%),37 (0.22),←,
22,"Sidebottom, Steele",22y 191d,100 (74-2-24 75.00%),78 (0.78),←,
28,"Sinclair, Ben",21y 284d,34 (23-0-11 67.65%),18 (0.53),←,
36,"Swan, Dane",29y 137d,211 (133-2-76 63.51%),168 (0.80),←,
24,"Thomas, Josh",21y 284d,11 (9-0-2 81.82%),5 (0.45),←,
46,"Williams, Marley",19y 355d,14 (11-0-3 78.57%),2 (0.14),←,
15,"Witts, Jarrod",20y 302d,5 (4-0-1 80.00%),4 (0.80),←,
14,"Young, Clinton",27y 146d,118 (73-1-44 62.29%),60 (0.51),2 (2-0-0 100.00%),
Totals,Totals,25y 120d,2140 (1390-23-727 64.95%),1334 (0.62),,
C,"Buckley, Nathan",40y 351d,40 (27-0-13 67.50%),,←,
