Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Biggs, Shane",13,4,9,22,,,,1.0,2.0,1.0,,1.0,,,,6.0,14.0,,,4.0,1.0,1.0,78.0
4,"Bontempelli, Marcus",19,6,11,30,2,1.0,,4.0,1.0,6.0,5.0,7.0,4.0,4.0,3.0,13.0,17.0,3.0,,2.0,1.0,,90.0
12,"Cordy, Zaine",8,5,6,14,,,,4.0,,,,1.0,1.0,,,7.0,8.0,,,6.0,,,95.0
6,"Dahlhaus, Luke",10,3,19,29,,,,4.0,1.0,6.0,2.0,6.0,1.0,,,8.0,21.0,1.0,,1.0,1.0,,79.0
31,"Dale, Bailey",18,5,9,27,2,1.0,,1.0,3.0,3.0,2.0,1.0,,,,5.0,22.0,,2.0,1.0,,1.0,82.0
35,"Daniel, Caleb",18,2,7,25,,,,,1.0,4.0,1.0,7.0,,2.0,,7.0,17.0,,,2.0,,1.0,87.0
22,"Honeychurch, Mitch",6,4,11,17,1,2.0,,4.0,,4.0,3.0,3.0,3.0,1.0,,6.0,11.0,,1.0,4.0,1.0,,85.0
7,"Hunter, Lachie",9,7,3,12,1,1.0,,5.0,1.0,2.0,,3.0,1.0,1.0,,2.0,10.0,1.0,1.0,1.0,1.0,1.0,92.0
39,"Johannisen, Jason",13,2,10,23,1,1.0,,1.0,4.0,3.0,2.0,2.0,1.0,,,8.0,13.0,,1.0,,1.0,,92.0
21,"Liberatore, Tom",4,5,14,18,,,,7.0,,,5.0,1.0,1.0,1.0,,8.0,11.0,,2.0,3.0,,,82.0
11,"Macrae, Jack",14,8,17,31,,,,6.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,9.0,22.0,,,,3.0,2.0,89.0
16,"McLean, Toby",12,4,14,26,2,1.0,,5.0,3.0,2.0,3.0,3.0,1.0,1.0,,10.0,17.0,1.0,1.0,,,1.0,80.0
38,"Morris, Dale",3,5,8,11,,,,1.0,1.0,,,,,,,3.0,8.0,1.0,,13.0,,,86.0
2,"Murphy, Robert",6,2,14,20,,,,,,2.0,,3.0,,2.0,,3.0,17.0,,1.0,,,,75.0
42,"Picken, Liam",9,6,9,18,1,1.0,,2.0,1.0,1.0,,3.0,,1.0,,5.0,12.0,2.0,2.0,2.0,,1.0,87.0
43,"Redpath, Jack",3,2,3,6,,,1.0,1.0,,2.0,,3.0,,2.0,,2.0,4.0,,,1.0,,1.0,81.0
23,"Roughead, Jordan",3,4,4,7,,,18.0,7.0,,2.0,3.0,1.0,,,,5.0,2.0,2.0,,4.0,,,90.0
9,"Stringer, Jake",2,1,5,7,1,,,1.0,,1.0,1.0,1.0,,1.0,,2.0,4.0,,,,,,24.0
1,"Suckling, Matt",19,3,6,25,,,,3.0,4.0,3.0,,1.0,,1.0,,5.0,14.0,,,,1.0,,79.0
3,"Wallis, Mitch",7,3,18,25,1,,,3.0,1.0,1.0,4.0,3.0,3.0,1.0,,16.0,9.0,1.0,,,,,81.0
34,"Williams, Bailey",7,7,7,14,,,,1.0,4.0,1.0,,1.0,1.0,,,3.0,12.0,1.0,,1.0,,,84.0
33,"Young, Lewis",10,9,11,21,,,,,1.0,1.0,,4.0,,2.0,,5.0,16.0,2.0,,1.0,1.0,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,97,215,428,12,10.0,19.0,61.0,29.0,50.0,33.0,57.0,19.0,21.0,5.0,138.0,281.0,15.0,11.0,46.0,11.0,9.0,
Opposition,Opposition,224,113,136,360,9,8.0,54.0,58.0,36.0,40.0,32.0,51.0,21.0,19.0,1.0,128.0,235.0,9.0,14.0,35.0,3.0,9.0,
