Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",30y 265d,154 (88-1-65 57.47%),235 (1.53),←,
41,"Banfield, Bailey",20y 40d,3 (2-0-1 66.67%),,←,
19,"Blakely, Connor",22y 36d,36 (13-0-23 36.11%),2 (0.06),←,
8,"Brayshaw, Andrew",18y 150d,3 (2-0-1 66.67%),,←,
5,"Cerra, Adam",18y 182d,2 (2-0-0 100.00%),2 (1.00),←,
12,"Crowden, Mitch",18y 344d,2 (2-0-0 100.00%),1 (0.50),←,
7,"Fyfe, Nat",26y 201d,141 (82-1-58 58.51%),124 (0.88),←,
21,"Hamling, Joel",24y 363d,47 (26-0-21 55.32%),,24 (10-0-14 41.67%),
32,"Hill, Stephen",27y 341d,192 (101-0-91 52.60%),109 (0.57),←,
37,"Johnson, Michael",33y 169d,234 (125-1-108 53.63%),65 (0.28),←,
26,"Langdon, Ed",22y 65d,28 (10-0-18 35.71%),16 (0.57),←,
3,"Matera, Brandon",26y 27d,104 (33-1-70 32.21%),127 (1.22),3 (2-0-1 66.67%),3 (1.00)
23,"McCarthy, Cam",23y 6d,43 (21-0-22 48.84%),66 (1.53),22 (9-0-13 40.91%),30 (1.36)
16,"Mundy, David",32y 261d,275 (145-1-129 52.91%),113 (0.41),←,
27,"Neale, Lachie",24y 318d,116 (59-0-57 50.86%),57 (0.49),←,
25,"Pearce, Alex",22y 302d,24 (11-0-13 45.83%),3 (0.13),←,
38,"Ryan, Luke",22y 60d,14 (4-0-10 28.57%),,←,
31,"Sandilands, Aaron",35y 122d,257 (144-0-113 56.03%),94 (0.37),←,
11,"Sheridan, Tom",24y 161d,69 (36-0-33 52.17%),23 (0.33),←,
20,"Taberner, Matthew",24y 294d,56 (27-0-29 48.21%),57 (1.02),←,
10,"Walters, Michael",27y 90d,114 (62-1-51 54.82%),203 (1.78),←,
14,"Wilson, Nathan",25y 90d,80 (42-2-36 53.75%),17 (0.21),3 (2-0-1 66.67%),1 (0.33)
Totals,Totals,25y 44d,1994 (1037-8-949 52.01%),1314 (0.66),,
C,"Lyon, Ross",51y 150d,265 (157-5-103 60.19%),,144 (81-1-62 56.60%),
