Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",8,5,4,12,,,,,,3.0,,4.0,,,,3.0,10.0,,,1.0,,,88.0
15,"Anderson, Noah",19,6,5,24,,,,4.0,4.0,4.0,7.0,6.0,1.0,1.0,,12.0,12.0,,,1.0,,,87.0
2,"Atkins, Rory",,,,,,,,,,,,,,,,,,,,,,,
10,"Ballard, Charlie",8,5,,8,,,,1.0,,,,2.0,,2.0,,3.0,6.0,2.0,,6.0,,,81.0
3,"Bowes, Jack",9,4,2,11,,,,,5.0,,1.0,1.0,,1.0,,,8.0,,,1.0,2.0,,74.0
30,"Casboult, Levi",4,3,1,5,2,,,,,,,2.0,1.0,1.0,,3.0,2.0,1.0,1.0,3.0,,,74.0
1,"Chol, Mabior",7,3,1,8,2,2.0,,,,1.0,,2.0,1.0,,,5.0,3.0,1.0,1.0,3.0,,,80.0
25,"Collins, Sam",8,7,4,12,,,,2.0,4.0,,,2.0,,1.0,,5.0,7.0,1.0,,1.0,,,98.0
12,"Day, Sam",4,4,2,6,2,,2.0,2.0,,1.0,,2.0,,1.0,,3.0,3.0,1.0,2.0,3.0,,,80.0
4,"Ellis, Brandon",17,7,4,21,,,,1.0,7.0,1.0,1.0,3.0,,2.0,,3.0,13.0,,,1.0,,,89.0
8,"Fiorini, Brayden",9,5,6,15,,1.0,,3.0,,3.0,1.0,1.0,,,,7.0,9.0,,,2.0,,,65.0
26,"Flanders, Sam",6,5,9,15,,,,4.0,,3.0,1.0,3.0,,,,6.0,9.0,1.0,,1.0,,1.0,72.0
46,"Graham, Caleb",6,4,2,8,,,,,1.0,1.0,,2.0,1.0,,,4.0,4.0,1.0,,13.0,,,96.0
7,"Holman, Nick",4,2,4,8,,,,3.0,,2.0,,5.0,4.0,3.0,,6.0,3.0,,,2.0,,,88.0
23,"Lemmens, Sean",11,3,3,14,,,,2.0,4.0,1.0,,4.0,1.0,1.0,,4.0,9.0,,,1.0,,,84.0
13,"Lukosius, Jack",18,6,4,22,1,,,3.0,6.0,3.0,,4.0,1.0,2.0,,5.0,12.0,,1.0,2.0,,,85.0
17,"Markov, Oleg",13,7,5,18,,,,1.0,6.0,2.0,,3.0,,1.0,,4.0,12.0,,,4.0,2.0,,80.0
11,"Miller, Touk",17,4,11,28,,1.0,,7.0,1.0,7.0,8.0,7.0,4.0,4.0,,15.0,14.0,,,,,1.0,85.0
47,"Oea, Hewago",2,2,3,5,,,,6.0,2.0,1.0,,2.0,1.0,,,1.0,4.0,,,,1.0,,69.0
22,"Rankine, Izak",8,1,3,11,1,1.0,,2.0,,3.0,2.0,5.0,,3.0,,6.0,4.0,,1.0,1.0,2.0,,89.0
18,"Rowell, Matt",4,2,10,14,,,,5.0,,3.0,7.0,4.0,,3.0,,10.0,5.0,,,,,,70.0
24,"Swallow, David",9,4,8,17,,,,1.0,4.0,4.0,3.0,4.0,,1.0,,7.0,10.0,,,2.0,1.0,1.0,83.0
28,"Witts, Jarrod",9,2,2,11,,,34.0,1.0,1.0,2.0,3.0,,2.0,,,6.0,5.0,,,2.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,91,93,293,8,7.0,36.0,48.0,45.0,45.0,34.0,68.0,17.0,27.0,,118.0,164.0,8.0,6.0,50.0,8.0,3.0,
Opposition,Opposition,252,117,156,408,14,19.0,36.0,53.0,37.0,60.0,36.0,48.0,27.0,17.0,6.0,140.0,265.0,11.0,19.0,44.0,18.0,12.0,
