Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
27,"Barker, John",26y 124d,111 (39-1-71 35.59%),73 (0.66),56 (32-0-24 57.14%),60 (1.07)
33,"Barlow, Kris",27y 343d,42 (23-0-19 54.76%),23 (0.55),←,
10,"Bateman, Chance",20y 2d,6 (3-0-3 50.00%),1 (0.17),←,
17,"Chick, Daniel",25y 133d,117 (58-2-57 50.43%),116 (0.99),←,
9,"Crawford, Shane",26y 287d,167 (84-2-81 50.90%),134 (0.80),←,
24,"Croad, Trent",21y 106d,72 (38-1-33 53.47%),69 (0.96),←,
19,"Dixon, Ben",24y 9d,83 (46-1-36 56.02%),121 (1.46),←,
34,"Graham, Mark",28y 102d,151 (70-2-79 47.02%),50 (0.33),←,
5,"Harford, Daniel",24y 96d,129 (61-1-67 47.67%),58 (0.45),←,
3,"Hay, Jonathan",21y 314d,72 (35-1-36 49.31%),9 (0.13),←,
2,"Holland, Nick",26y 329d,124 (57-2-65 46.77%),190 (1.53),←,
8,"Johnson, Brett",19y 238d,12 (7-0-5 58.33%),1 (0.08),←,
37,"Lekkas, Angelo",24y 359d,98 (44-1-53 45.41%),35 (0.36),←,
7,"McCabe, Luke",24y 317d,106 (52-1-53 49.53%),8 (0.08),←,
1,"Nicholls, Bill",20y 172d,2 (1-0-1 50.00%),3 (1.50),←,
12,"OFarrell, Brett",23y 171d,17 (9-0-8 52.94%),15 (0.88),9 (3-0-6 33.33%),6 (0.67)
13,"Picioane, Lance",21y 16d,25 (15-0-10 60.00%),7 (0.28),21 (14-0-7 66.67%),5 (0.24)
20,"Rawlings, Jade",23y 257d,59 (30-0-29 50.85%),21 (0.36),←,
11,"Smith, Joel",24y 51d,104 (55-1-48 53.37%),69 (0.66),46 (26-1-19 57.61%),18 (0.39)
4,"Tallis, Rayden",26y 14d,105 (50-0-55 47.62%),14 (0.13),←,
23,"Thompson, Nathan",23y 129d,54 (31-1-22 58.33%),78 (1.44),←,
30,"Woods, Tony",31y 356d,165 (75-2-88 46.06%),35 (0.21),134 (59-2-73 44.78%),25 (0.19)
Totals,Totals,24y 145d,1821 (883-19-919 48.49%),1130 (0.62),,
C,"Schwab, Peter",40y 274d,36 (22-0-14 61.11%),,←,
