Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",26y 180d,154 (69-3-82 45.78%),403 (2.62),←,
35,"Corr, Aidan",25y 134d,83 (39-3-41 48.80%),2 (0.02),←,
16,"Daniels, Brent",20y 203d,33 (21-0-12 63.64%),15 (0.45),←,
1,"Davis, Phil",29y 29d,166 (82-3-81 50.30%),7 (0.04),148 (71-3-74 48.99%),6 (0.04)
24,"de Boer, Matt",29y 202d,187 (109-4-74 59.36%),74 (0.40),49 (31-3-15 66.33%),26 (0.53)
31,"Finlayson, Jeremy",23y 231d,38 (22-2-14 60.53%),48 (1.26),←,
4,"Greene, Toby",26y 3d,145 (65-1-79 45.17%),166 (1.14),←,
19,"Haynes, Nick",27y 133d,128 (63-3-62 50.39%),9 (0.07),←,
27,"Himmelberg, Harry",23y 143d,65 (42-1-22 65.38%),76 (1.17),←,
2,"Hopper, Jacob",22y 234d,67 (43-1-23 64.93%),29 (0.43),←,
22,"Kelly, Josh",24y 228d,118 (67-2-49 57.63%),77 (0.65),←,
40,"Kennedy, Adam",27y 78d,115 (45-0-70 39.13%),12 (0.10),←,
38,"Lloyd, Daniel",27y 222d,39 (23-3-13 62.82%),31 (0.79),←,
41,"Mumford, Shane",33y 85d,192 (125-4-63 66.15%),52 (0.27),92 (56-2-34 61.96%),13 (0.14)
36,"Perryman, Harry",20y 283d,36 (19-1-16 54.17%),4 (0.11),←,
50,"Reid, Sam",29y 325d,90 (51-3-36 58.33%),29 (0.32),80 (45-3-32 58.13%),28 (0.35)
23,"Shaw, Heath",33y 305d,308 (188-5-115 61.85%),39 (0.13),135 (78-3-54 58.89%),2 (0.01)
14,"Taranto, Tim",21y 243d,63 (39-1-23 62.70%),24 (0.38),←,
15,"Taylor, Sam",20y 146d,30 (21-0-9 70.00%),1 (0.03),←,
20,"Tomlinson, Adam",26y 49d,140 (61-3-76 44.64%),35 (0.25),←,
6,"Whitfield, Lachie",25y 72d,133 (65-3-65 50.00%),60 (0.45),←,
29,"Williams, Zac",25y 8d,102 (54-0-48 52.94%),25 (0.25),←,
Totals,Totals,25y 327d,2432 (1313-46-1073 53.99%),1218 (0.50),,
C,"Cameron, Leon",47y 26d,143 (79-3-61 56.29%),,←,
