Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Greg",22,2,9,31,,,,,,,,,1.0,1.0,,,,,,,,,
8,"Bewick, Darren",9,1,2,11,1,,,,,,,,,,,,,,,,,,
23,"Cransberg, Peter",9,2,5,14,1,1.0,1.0,,,,,,1.0,3.0,,,,,,,,,
6,"Daniher, Anthony",2,3,2,4,,,,3.0,,,,,,,,,,,,,,,
15,"Ezard, Alan",17,1,3,20,,,,1.0,,,,,2.0,1.0,,,,,,,,,
34,"Filandia, Peter",10,1,2,12,,,,1.0,,,,,4.0,,,,,,,,,,
25,"Fox, Brad",10,1,6,16,1,,,,,,,,3.0,2.0,,,,,,,,,
49,"Hills, Paul",6,1,9,15,,1.0,,1.0,,,,,1.0,,,,,,,,,,
13,"Long, Michael",15,,2,17,1,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
27,"Madden, Simon",14,8,1,15,,,16.0,,,,,,6.0,3.0,,,,,,,,,
35,"McMullin, Ian",7,3,4,11,1,,,,,,,,,1.0,,,,,,,,,
47,"Morrish, Paul",7,3,1,8,,,,2.0,,,,,1.0,,,,,,,,,,
10,"ODonnell, Gary",13,3,9,22,,,,2.0,,,,,1.0,2.0,1.0,,,,,,,,
14,"Plain, Bradley",3,1,,3,,1.0,,,,,,,,1.0,,,,,,,,,
3,"Salmon, Paul",11,2,,11,1,3.0,3.0,,,,,,3.0,3.0,,,,,,,,,
17,"Sporn, Kieran",6,2,7,13,1,,,1.0,,,,,1.0,,,,,,,,,,
26,"Thompson, Mark",11,3,7,18,,,,,,,,,,1.0,,,,,,,,,
4,"Wanganeen, Gavin",15,3,6,21,2,2.0,,2.0,,,,,2.0,2.0,,,,,,,,,
32,"Watson, Tim",11,4,8,19,,,,3.0,,,,,2.0,,,,,,,,,,
24,"Werner, Michael",5,,1,6,1,1.0,,,,,,,,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,44,84,287,10,14.0,20.0,18.0,,,,,29.0,24.0,1.0,,,,,,,,
Opposition,Opposition,222,53,88,310,11,10.0,16.0,30.0,,,,,24.0,29.0,5.0,,,,,,,,
