Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
26,"Bickley, Mark",31y 246d,207 (99-0-108 47.83%),65 (0.31),←,
35,"Biglands, Rhett",23y 215d,19 (9-0-10 47.37%),4 (0.21),←,
21,"Bode, Matthew",21y 282d,30 (11-0-19 36.67%),26 (0.87),1 (0-0-1 0.00%),1 (1.00)
4,"Clarke, Matthew",27y 201d,140 (63-2-75 45.71%),21 (0.15),10 (1-0-9 10.00%),2 (0.20)
1,"Crowell, Andrew",23y 235d,15 (6-0-9 40.00%),10 (0.67),←,
9,"Edwards, Tyson",24y 244d,105 (50-0-55 47.62%),61 (0.58),←,
38,"Gallagher, David",20y 245d,23 (10-0-13 43.48%),2 (0.09),←,
36,"Goodwin, Simon",24y 102d,74 (38-0-36 51.35%),30 (0.41),←,
34,"Hart, Ben",26y 272d,203 (98-1-104 48.52%),36 (0.18),←,
40,"Ladhams, Chris",20y 168d,2 (0-0-2 0.00%),1 (0.50),←,
16,"McGregor, Ken",20y 68d,25 (8-0-17 32.00%),14 (0.56),←,
23,"McLeod, Andrew",24y 246d,125 (60-0-65 48.00%),128 (1.02),←,
22,"Perrie, Ian",21y 363d,14 (7-0-7 50.00%),13 (0.93),←,
32,"Ricciuto, Mark",25y 303d,173 (79-1-93 45.95%),113 (0.65),←,
10,"Robran, Matthew",30y 19d,124 (65-0-59 52.42%),107 (0.86),117 (61-0-56 52.14%),102 (0.87)
5,"Shir, Matthew",19y 207d,2 (0-0-2 0.00%),,←,
12,"Shirley, Robert",20y 302d,4 (0-0-4 0.00%),,←,
14,"Skipworth, Hayden",18y 41d,2 (0-0-2 0.00%),,←,
7,"Smart, Nigel",31y 321d,207 (98-1-108 47.58%),100 (0.48),←,
20,"Stenglein, Tyson",20y 265d,21 (9-0-12 42.86%),5 (0.24),←,
19,"Stevens, Mark",25y 164d,66 (36-0-30 54.55%),39 (0.59),45 (20-0-25 44.44%),19 (0.42)
17,"Welsh, Scott",22y 121d,60 (35-0-25 58.33%),83 (1.38),24 (9-0-15 37.50%),53 (2.21)
Totals,Totals,23y 343d,1641 (781-5-855 47.59%),858 (0.52),,
C,"Ayres, Gary",40y 191d,140 (74-1-65 53.21%),,24 (9-0-15 37.50%),
