Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",19y 208d,14 (6-0-8 42.86%),4 (0.29),←,
12,"Akermanis, Jason",28y 107d,225 (141-4-80 63.56%),280 (1.24),187 (118-3-66 63.90%),236 (1.26)
20,"Black, Simon",26y 69d,160 (109-1-50 68.44%),109 (0.68),←,
36,"Bradshaw, Daniel",26y 202d,149 (92-2-55 62.42%),282 (1.89),146 (89-2-55 61.64%),282 (1.93)
16,"Brown, Jonathan",23y 225d,100 (75-0-25 75.00%),146 (1.46),←,
30,"Copeland, Robert",24y 16d,88 (63-0-25 71.59%),18 (0.20),←,
18,"Corrie, Anthony",20y 354d,17 (7-0-10 41.18%),11 (0.65),←,
39,"Drummond, Josh",22y 53d,5 (3-0-2 60.00%),4 (0.80),←,
2,"Johnson, Chris",29y 12d,234 (117-3-114 50.64%),154 (0.66),175 (110-3-62 63.71%),87 (0.50)
27,"Keating, Clark",29y 84d,126 (83-2-41 66.67%),81 (0.64),112 (73-1-38 65.63%),72 (0.64)
23,"Leppitsch, Justin",29y 253d,221 (132-4-85 60.63%),193 (0.87),177 (110-3-64 62.99%),135 (0.76)
26,"Macdonald, Joel",20y 244d,22 (12-0-10 54.55%),3 (0.14),←,
9,"McGrath, Ashley",22y 22d,62 (39-1-22 63.71%),42 (0.68),←,
25,"McLaren, Dylan",23y 34d,40 (28-0-12 70.00%),5 (0.13),←,
21,"Merrett, Daniel",20y 181d,7 (3-0-4 42.86%),5 (0.71),←,
15,"Michael, Mal",27y 352d,170 (98-1-71 57.94%),26 (0.15),109 (77-1-31 71.10%),3 (0.03)
8,"Notting, Tim",26y 233d,124 (85-1-38 68.95%),101 (0.81),←,
6,"Power, Luke",25y 154d,144 (96-1-47 67.01%),158 (1.10),←,
5,"Scott, Brad",29y 39d,142 (84-2-56 59.86%),43 (0.30),120 (76-2-42 64.17%),37 (0.31)
28,"Selwood, Troy",21y 41d,10 (4-0-6 40.00%),,←,
29,"Sherman, Justin",18y 136d,9 (4-0-5 44.44%),7 (0.78),←,
3,"Voss, Michael",29y 339d,258 (155-2-101 60.47%),236 (0.91),179 (117-1-61 65.64%),164 (0.92)
Totals,Totals,24y 269d,2327 (1436-24-867 61.71%),1908 (0.82),,
C,"Matthews, Leigh",53y 102d,386 (236-6-144 61.92%),,162 (111-1-50 68.83%),
