Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
6,"Anderson, Stuart",23y 289d,63 (42-0-21 66.67%),21 (0.33),2 (0-0-2 0.00%),1 (0.50)
44,"Bandy, Daniel",22y 145d,37 (16-0-21 43.24%),35 (0.95),←,
32,"Bond, Chris",29y 76d,125 (59-1-65 47.60%),42 (0.34),3 (1-0-2 33.33%),2 (0.67)
24,"Burton, Matthew",27y 328d,45 (17-0-28 37.78%),16 (0.36),←,
42,"Callaghan, Craig",22y 34d,51 (16-0-35 31.37%),30 (0.59),←,
13,"Chisholm, Scott",24y 319d,50 (20-0-30 40.00%),20 (0.40),←,
31,"Clement, James",21y 220d,35 (13-0-22 37.14%),10 (0.29),←,
41,"Clucas, Matthew",20y 25d,4 (1-0-3 25.00%),,←,
12,"Dodd, Brad",21y 20d,3 (1-0-2 33.33%),2 (0.67),←,
2,"Fletcher, Adrian",28y 184d,155 (72-2-81 47.10%),73 (0.47),3 (1-0-2 33.33%),
37,"Gale, Mark",21y 340d,24 (9-0-15 37.50%),5 (0.21),←,
3,"Harding, Greg",21y 207d,39 (17-0-22 43.59%),1 (0.03),←,
28,"Koops, Steven",19y 262d,11 (3-0-8 27.27%),13 (1.18),←,
9,"Mann, Peter",27y 217d,98 (39-0-59 39.80%),91 (0.93),59 (21-0-38 35.59%),79 (1.34)
43,"McGovern, Andrew",30y 5d,65 (23-1-41 36.15%),8 (0.12),45 (19-0-26 42.22%),1 (0.02)
8,"McManus, Shaun",22y 62d,40 (13-0-27 32.50%),26 (0.65),←,
25,"Norrish, Jason",26y 76d,65 (29-0-36 44.62%),7 (0.11),45 (17-0-28 37.78%),5 (0.11)
10,"OReilly, Stephen",25y 154d,100 (44-0-56 44.00%),9 (0.09),64 (23-0-41 35.94%),4 (0.06)
5,"Parker, Daniel",23y 322d,15 (6-0-9 40.00%),18 (1.20),←,
23,"Parker, Shane",25y 53d,48 (19-0-29 39.58%),3 (0.06),←,
15,"Sinclair, Jess",19y 229d,11 (4-0-7 36.36%),4 (0.36),←,
4,"Wills, Andrew",26y 99d,113 (63-0-50 55.75%),105 (0.93),54 (23-0-31 42.59%),62 (1.15)
Totals,Totals,24y 50d,1197 (526-4-667 43.94%),539 (0.45),,
C,"Neesham, Gerard",43y 122d,69 (26-0-43 37.68%),,←,
