Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Bell, Peter",17,6,9,26,1,2.0,,3.0,7.0,2.0,,,,,,5.0,20.0,,1.0,1.0,3.0,,94.0
21,"Black, Heath",14,9,4,18,,,,,2.0,1.0,,2.0,1.0,2.0,,2.0,16.0,,,1.0,1.0,,67.0
2,"Carr, Josh",7,6,7,14,,,,1.0,,2.0,3.0,4.0,2.0,1.0,,7.0,9.0,,,,2.0,,74.0
9,"Carr, Matthew",11,11,4,15,,,,,2.0,3.0,1.0,1.0,,1.0,,3.0,12.0,,,2.0,,,85.0
15,"Crowley, Ryan",14,11,5,19,,1.0,,,,3.0,1.0,5.0,1.0,1.0,,4.0,14.0,,,,2.0,,66.0
25,"Dodd, Steven",5,6,2,7,,,,3.0,1.0,,,1.0,,,,1.0,6.0,,,2.0,,,76.0
33,"Farmer, Jeff",7,7,3,10,3,,,1.0,1.0,2.0,,1.0,,1.0,,2.0,8.0,1.0,3.0,,,1.0,93.0
27,"Gilmore, Daniel",12,9,5,17,,1.0,,,,4.0,,,1.0,,,2.0,15.0,,,1.0,3.0,,74.0
4,"Hasleby, Paul",15,8,15,30,,,1.0,4.0,2.0,7.0,8.0,2.0,3.0,,,15.0,15.0,1.0,,1.0,,,89.0
11,"Headland, Des",21,10,3,24,,1.0,1.0,4.0,2.0,8.0,2.0,1.0,2.0,,,2.0,22.0,,,1.0,1.0,1.0,82.0
37,"Johnson, Michael",16,7,3,19,,,,,5.0,,1.0,,,,,5.0,10.0,2.0,,3.0,1.0,,100.0
20,"Longmuir, Justin",5,5,7,12,3,,2.0,,2.0,1.0,1.0,1.0,,,,5.0,7.0,1.0,2.0,3.0,1.0,,58.0
8,"McManus, Shaun",14,10,10,24,,,,6.0,,1.0,2.0,3.0,2.0,2.0,,8.0,15.0,1.0,,,5.0,,71.0
18,"McPharlin, Luke",11,8,,11,3,,,3.0,,2.0,,3.0,,1.0,,5.0,6.0,4.0,3.0,1.0,,,89.0
6,"Medhurst, Paul",14,9,1,15,2,,,,1.0,5.0,,2.0,1.0,,,4.0,11.0,2.0,3.0,1.0,,,55.0
16,"Mundy, David",13,5,2,15,,,,,4.0,2.0,,1.0,,,,2.0,11.0,,,6.0,,,89.0
28,"Murphy, Ryan",8,6,6,14,,,,1.0,4.0,,,1.0,,,,8.0,6.0,1.0,,2.0,1.0,,100.0
23,"Parker, Shane",8,4,3,11,,,,3.0,3.0,1.0,,3.0,,3.0,,3.0,7.0,,,6.0,,,85.0
29,"Pavlich, Matthew",8,5,3,11,1,1.0,1.0,2.0,1.0,4.0,,2.0,,1.0,,3.0,8.0,1.0,1.0,1.0,,1.0,98.0
31,"Sandilands, Aaron",8,10,9,17,,1.0,16.0,,,2.0,1.0,3.0,,2.0,,5.0,13.0,,1.0,3.0,,,88.0
3,"Schammer, Byron",22,13,6,28,,1.0,,2.0,6.0,,2.0,2.0,1.0,,,6.0,22.0,,1.0,2.0,3.0,,85.0
19,"Walker, James",8,5,6,14,,,,2.0,,3.0,,2.0,,,,5.0,9.0,,,2.0,1.0,1.0,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,258,170,113,371,13,9.0,21.0,35.0,43.0,53.0,22.0,40.0,14.0,15.0,,102.0,262.0,14.0,15.0,39.0,24.0,4.0,
Opposition,Opposition,221,118,169,390,17,7.0,22.0,27.0,45.0,58.0,34.0,44.0,15.0,14.0,6.0,120.0,266.0,11.0,17.0,34.0,27.0,12.0,
