Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",25y 295d,120 (71-2-47 60.00%),31 (0.26),←,
21,"Barry, Leo",31y 116d,234 (136-1-97 58.33%),56 (0.24),←,
42,"Bevan, Paul",23y 351d,89 (52-2-35 59.55%),23 (0.26),←,
6,"Bolton, Craig",28y 104d,174 (104-2-68 60.34%),25 (0.14),145 (87-2-56 60.69%),15 (0.10)
24,"Bolton, Jude",28y 181d,211 (116-3-92 55.69%),98 (0.46),←,
32,"Buchanan, Amon",25y 338d,108 (63-2-43 59.26%),55 (0.51),←,
28,"Crouch, Jared",30y 191d,209 (112-1-96 53.83%),49 (0.23),←,
10,"Everitt, Peter",34y 132d,291 (113-3-175 39.35%),384 (1.32),39 (20-1-18 52.56%),17 (0.44)
37,"Goodes, Adam",28y 248d,230 (127-3-100 55.87%),229 (1.00),←,
1,"Hall, Barry",31y 217d,239 (122-3-114 51.67%),580 (2.43),151 (88-2-61 58.94%),436 (2.89)
15,"Jack, Kieren",21y 76d,25 (13-1-11 54.00%),11 (0.44),←,
16,"Jolly, Darren",26y 311d,144 (78-2-64 54.86%),54 (0.38),96 (58-2-36 61.46%),43 (0.45)
17,"Kennelly, Tadhg",27y 73d,158 (98-1-59 62.34%),29 (0.18),←,
31,"Kirk, Brett",31y 323d,195 (110-3-82 57.18%),76 (0.39),←,
9,"Malceski, Nick",24y 28d,56 (39-1-16 70.54%),30 (0.54),←,
29,"Mattner, Martin",26y 37d,122 (73-1-48 60.25%),18 (0.15),24 (13-1-10 56.25%),4 (0.17)
3,"McVeigh, Jarrad",23y 158d,105 (61-2-42 59.05%),74 (0.70),←,
33,"Moore, Jarred",22y 190d,32 (19-1-12 60.94%),27 (0.84),←,
5,"OKeefe, Ryan",27y 232d,164 (95-2-67 58.54%),178 (1.09),←,
25,"Richards, Ted",25y 245d,103 (59-2-42 58.25%),29 (0.28),70 (40-2-28 58.57%),10 (0.14)
30,"Roberts-Thomson, Lewis",25y 4d,98 (61-1-36 62.76%),12 (0.12),←,
13,"Veszpremi, Patrick",19y 11d,6 (3-0-3 50.00%),9 (1.50),←,
Totals,Totals,26y 292d,3113 (1725-39-1349 55.41%),2077 (0.67),,
C,"Roos, Paul",45y 77d,156 (94-2-60 60.90%),,←,
