Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
18,"Blakey, John",24y 249d,98 (41-0-57 41.84%),24 (0.24),←,
24,"Bourke, Matthew",22y 202d,2 (1-0-1 50.00%),1 (0.50),1 (0-0-1 0.00%),1 (1.00)
17,"Broderick, Paul",21y 86d,39 (19-0-20 48.72%),39 (1.00),←,
40,"Bunn, Mark",20y 157d,18 (6-0-12 33.33%),,←,
16,"Cormack, Joe",24y 212d,11 (4-0-7 36.36%),7 (0.64),1 (0-0-1 0.00%),
10,"Davis, Brad",18y 255d,1 (0-0-1 0.00%),1 (1.00),←,
2,"Dundas, Matthew",19y 113d,16 (5-0-11 31.25%),19 (1.19),←,
7,"Gale, Michael",24y 99d,76 (29-0-47 38.16%),18 (0.24),←,
19,"Klaebe, Brenton",24y 158d,1 (0-0-1 0.00%),,←,
11,"Lynch, Alastair",22y 284d,59 (23-0-36 38.98%),70 (1.19),←,
29,"Lyon, Ross",24y 142d,59 (17-0-42 28.81%),57 (0.97),←,
25,"OConnell, David",27y 281d,28 (13-0-15 46.43%),6 (0.21),1 (0-0-1 0.00%),
44,"Osborne, Richard",26y 287d,150 (70-0-80 46.67%),327 (2.18),←,
1,"Roos, Paul",27y 276d,188 (83-0-105 44.15%),212 (1.13),←,
20,"Rowe, Duane",24y 363d,23 (12-0-11 52.17%),2 (0.09),←,
33,"Stephens, Brett",30y 38d,83 (32-0-51 38.55%),23 (0.28),←,
13,"Stevenson, Shayne",20y 291d,1 (0-0-1 0.00%),,←,
31,"Strooper, David",23y 33d,38 (14-0-24 36.84%),28 (0.74),←,
30,"Waterson, Chris",21y 93d,10 (2-0-8 20.00%),6 (0.60),←,
8,"Wynd, Jim",26y 139d,52 (22-0-30 42.31%),21 (0.40),←,
Totals,Totals,23y 297d,953 (393-0-560 41.24%),861 (0.90),,
C,"Shaw, Robert",36y 83d,1 (0-0-1 0.00%),,←,
