Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
42,"Bevan, Paul",13,9,5,18,1,2.0,,1.0,3.0,1.0,,,,,,3.0,14.0,,3.0,1.0,,,91.0
24,"Bolton, Jude",2,,13,15,,,,8.0,,,6.0,3.0,1.0,1.0,,7.0,8.0,,,2.0,,,84.0
8,"Dennis-Lane, Trent",6,2,3,9,2,1.0,,,,2.0,,2.0,,1.0,,3.0,5.0,,1.0,1.0,1.0,,76.0
37,"Goodes, Adam",7,5,8,15,,1.0,,1.0,,4.0,1.0,,,,,6.0,9.0,1.0,1.0,1.0,,,95.0
39,"Grundy, Heath",10,9,8,18,,,,1.0,2.0,1.0,,,,,,4.0,15.0,,,6.0,1.0,,96.0
4,"Hannebery, Dan",16,4,22,38,,1.0,,5.0,2.0,1.0,3.0,3.0,,,3.0,12.0,26.0,,1.0,,,,73.0
15,"Jack, Kieren",17,1,9,26,1,,,6.0,,8.0,4.0,3.0,3.0,,2.0,11.0,15.0,,,2.0,,,85.0
32,"Jetta, Lewis",11,6,5,16,1,1.0,,2.0,,6.0,1.0,1.0,,,,4.0,13.0,,1.0,2.0,3.0,1.0,75.0
12,"Kennedy, Josh",4,,12,16,,1.0,,4.0,,,6.0,2.0,2.0,1.0,,11.0,4.0,,,1.0,,1.0,72.0
17,"Kennelly, Tadhg",17,8,10,27,,,,,3.0,3.0,,1.0,,1.0,,2.0,23.0,,,2.0,1.0,,90.0
31,"Kirk, Brett",8,3,10,18,,,,1.0,,2.0,,2.0,,2.0,,1.0,17.0,,,,,,79.0
9,"Malceski, Nick",14,5,6,20,,,,3.0,1.0,5.0,1.0,4.0,,2.0,,4.0,15.0,,,4.0,,2.0,88.0
29,"Mattner, Martin",7,4,5,12,1,,,1.0,1.0,2.0,,3.0,2.0,2.0,,6.0,6.0,1.0,,2.0,1.0,,90.0
21,"McGlynn, Ben",10,7,7,17,3,,,1.0,1.0,4.0,,,1.0,,,5.0,13.0,,3.0,,,,57.0
3,"McVeigh, Jarrad",18,3,6,24,,1.0,,4.0,,2.0,6.0,3.0,2.0,,,8.0,13.0,1.0,1.0,4.0,,1.0,92.0
33,"Moore, Jarred",10,3,3,13,1,,,4.0,,3.0,1.0,2.0,1.0,,,7.0,7.0,1.0,1.0,1.0,,1.0,66.0
41,"Mumford, Shane",7,4,15,22,1,,30.0,5.0,1.0,3.0,5.0,3.0,3.0,2.0,,13.0,9.0,1.0,1.0,6.0,,,81.0
5,"OKeefe, Ryan",6,1,9,15,1,,,7.0,,2.0,4.0,1.0,,,,9.0,6.0,1.0,1.0,1.0,,1.0,82.0
38,"Pyke, Mike",4,1,1,5,1,,17.0,1.0,1.0,,2.0,3.0,1.0,2.0,,2.0,1.0,,1.0,,,,60.0
25,"Richards, Ted",6,7,6,12,,,,1.0,,2.0,,1.0,,,,3.0,8.0,1.0,,2.0,1.0,1.0,94.0
2,"Shaw, Rhyce",9,5,2,11,,1.0,,5.0,1.0,3.0,,3.0,,2.0,,,9.0,,,2.0,2.0,,81.0
18,"White, Jesse",5,5,5,10,1,1.0,,,,1.0,,1.0,,,,6.0,3.0,2.0,1.0,1.0,,1.0,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,207,92,170,377,14,12.0,47.0,61.0,16.0,55.0,40.0,41.0,16.0,16.0,5.0,127.0,239.0,9.0,16.0,41.0,10.0,9.0,
Opposition,Opposition,175,95,124,299,13,9.0,26.0,67.0,36.0,32.0,28.0,44.0,16.0,16.0,1.0,100.0,194.0,8.0,12.0,52.0,28.0,8.0,
