Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Burns, Scott",9,6,12,21,1,,,9.0,1.0,3.0,4.0,5.0,,2.0,,10.0,11.0,,,2.0,,1.0,77.0
8,"Clement, James",10,4,5,15,,,,3.0,5.0,1.0,2.0,4.0,,1.0,,4.0,9.0,1.0,,,1.0,,100.0
32,"Cloke, Travis",14,8,,14,,1.0,,2.0,,3.0,,2.0,,1.0,,1.0,13.0,,2.0,1.0,1.0,,88.0
1,"Davis, Leon",8,1,1,9,3,,,4.0,,2.0,,1.0,1.0,,,4.0,3.0,,1.0,1.0,,,96.0
25,"Fraser, Josh",9,3,,9,,1.0,19.0,,,2.0,3.0,1.0,1.0,,,4.0,5.0,,,1.0,,,66.0
26,"Johnson, Ben",15,3,2,17,1,,,5.0,3.0,3.0,3.0,2.0,2.0,1.0,,6.0,13.0,,,,1.0,,69.0
18,"Licuria, Paul",8,3,6,14,,2.0,,5.0,,3.0,1.0,5.0,2.0,5.0,,8.0,5.0,2.0,1.0,,1.0,,83.0
24,"Lockyer, Tarkyn",12,10,4,16,,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,3.0,13.0,,1.0,,,2.0,75.0
30,"Lumumba, Heritier",3,2,4,7,,,,1.0,1.0,,,1.0,1.0,,,4.0,3.0,,,3.0,,,100.0
27,"Maxwell, Nick",8,6,6,14,,,1.0,5.0,2.0,,,3.0,2.0,1.0,,8.0,4.0,3.0,,9.0,,,100.0
7,"Medhurst, Paul",6,3,2,8,,,,1.0,,4.0,,3.0,1.0,1.0,,4.0,4.0,1.0,,,,1.0,74.0
44,"Nicholls, Daniel",2,,1,3,,,,3.0,,,,6.0,,4.0,,1.0,1.0,,,,,,59.0
11,"OBree, Shane",14,3,7,21,1,,,5.0,3.0,7.0,7.0,3.0,1.0,1.0,,10.0,12.0,,,1.0,1.0,,79.0
10,"Pendlebury, Scott",13,10,8,21,,1.0,,1.0,1.0,1.0,1.0,5.0,,2.0,,7.0,14.0,1.0,,2.0,,,82.0
35,"Prestigiacomo, Simon",1,2,6,7,,,,4.0,2.0,,,2.0,,2.0,,4.0,3.0,,,4.0,,,100.0
21,"Richards, Guy",7,2,4,11,,,22.0,,,,3.0,,2.0,,,8.0,2.0,,,1.0,,,53.0
23,"Rocca, Anthony",8,7,,8,4,1.0,1.0,,,3.0,1.0,4.0,,3.0,,3.0,4.0,3.0,2.0,3.0,,1.0,95.0
39,"Shaw, Heath",21,6,6,27,,,,5.0,11.0,,1.0,4.0,1.0,,,11.0,11.0,2.0,,5.0,1.0,,94.0
22,"Shaw, Rhyce",15,6,2,17,1,,,2.0,3.0,3.0,4.0,2.0,,,,5.0,11.0,,,1.0,2.0,,66.0
36,"Swan, Dane",14,7,8,22,,,,5.0,1.0,2.0,5.0,1.0,,,,13.0,9.0,,,2.0,,1.0,93.0
13,"Thomas, Dale",7,4,6,13,,1.0,,4.0,1.0,2.0,1.0,7.0,,3.0,,3.0,10.0,,,1.0,1.0,,64.0
14,"Wakelin, Shane",5,3,2,7,,,,1.0,2.0,,,,,,,3.0,4.0,1.0,,3.0,1.0,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,99,92,301,11,9.0,43.0,66.0,37.0,41.0,37.0,64.0,15.0,28.0,,124.0,164.0,14.0,7.0,40.0,10.0,6.0,
Opposition,Opposition,222,106,191,413,12,15.0,33.0,58.0,28.0,51.0,40.0,44.0,28.0,15.0,6.0,140.0,269.0,9.0,10.0,43.0,10.0,8.0,
