Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
15,"Amon, Karl",25y 58d,78 (45-0-33 57.69%),36 (0.46),←,
10,"Boak, Travis",32y 76d,283 (141-1-141 50.00%),179 (0.63),←,
3,"Burton, Ryan",23y 259d,71 (40-1-30 57.04%),9 (0.13),24 (15-0-9 62.50%),4 (0.17)
18,"Butters, Zak",20y 38d,36 (22-0-14 61.11%),23 (0.64),←,
33,"Byrne-Jones, Darcy",25y 26d,105 (60-0-45 57.14%),6 (0.06),←,
17,"Clurey, Tom",26y 207d,99 (60-0-39 60.61%),,←,
22,"Dixon, Charlie",30y 23d,153 (72-1-80 47.39%),246 (1.61),88 (53-0-35 60.23%),152 (1.73)
21,"Duursma, Xavier",20y 101d,35 (23-0-12 65.71%),18 (0.51),←,
7,"Ebert, Brad",30y 197d,260 (126-1-133 48.65%),140 (0.54),184 (98-1-85 53.53%),107 (0.58)
9,"Gray, Robbie",32y 200d,237 (120-0-117 50.63%),333 (1.41),←,
8,"Hartlett, Hamish",30y 63d,183 (92-1-90 50.55%),75 (0.41),←,
5,"Houston, Dan",23y 157d,77 (47-0-30 61.04%),11 (0.14),←,
1,"Jonas, Tom",29y 281d,158 (86-1-71 54.75%),1 (0.01),←,
38,"Ladhams, Peter",22y 276d,15 (9-0-6 60.00%),8 (0.53),←,
29,"Lycett, Scott",28y 20d,108 (69-0-39 63.89%),53 (0.49),33 (21-0-12 63.64%),8 (0.24)
4,"Marshall, Todd",22y 8d,34 (26-0-8 76.47%),33 (0.97),←,
12,"McKenzie, Trent",28y 196d,125 (44-0-81 35.20%),22 (0.18),19 (15-0-4 78.95%),
6,"Motlop, Steven",29y 218d,184 (119-2-63 65.22%),206 (1.12),49 (29-0-20 59.18%),31 (0.63)
2,"Powell-Pepper, Sam",22y 282d,76 (48-0-28 63.16%),38 (0.50),←,
11,"Rockliff, Tom",30y 237d,206 (79-0-127 38.35%),100 (0.49),52 (33-0-19 63.46%),13 (0.25)
20,"Rozee, Connor",20y 268d,38 (24-0-14 63.16%),38 (1.00),←,
16,"Wines, Ollie",26y 9d,158 (90-0-68 56.96%),71 (0.45),←,
Totals,Totals,26y 145d,2719 (1442-8-1269 53.03%),1646 (0.61),,
C,"Hinkley, Ken",54y 16d,178 (103-0-75 57.87%),,←,
