Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Alessio, Steven",6,4,7,13,,,12.0,,1.0,2.0,4.0,3.0,,,,7.0,6.0,,2.0,,2.0,,
16,"Barnard, Paul",3,2,11,14,2,,,1.0,,1.0,3.0,,3.0,2.0,,10.0,5.0,,1.0,1.0,,,
20,"Berbakov, Peter",12,4,3,15,1,,,3.0,3.0,1.0,2.0,,2.0,2.0,,6.0,10.0,1.0,,1.0,,,
8,"Bewick, Darren",10,2,3,13,,,,,7.0,2.0,1.0,1.0,1.0,1.0,,4.0,10.0,,1.0,1.0,2.0,,
32,"Blumfield, Justin",5,3,6,11,,,,1.0,1.0,,,,1.0,,,6.0,5.0,,,1.0,,,
33,"Caracella, Blake",9,4,3,12,,,,1.0,,4.0,2.0,2.0,,1.0,,7.0,5.0,1.0,,2.0,,,
38,"Denham, Sean",7,1,3,10,,,,3.0,3.0,2.0,3.0,,,1.0,,4.0,7.0,,,1.0,,,
36,"Eastaugh, Simon",9,5,2,11,1,,10.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,,6.0,4.0,2.0,1.0,,,,
31,"Fletcher, Dustin",10,3,4,14,,,1.0,1.0,3.0,,1.0,,1.0,,,8.0,4.0,1.0,,2.0,1.0,,
30,"Fraser, Mark",6,1,4,10,,,,,2.0,3.0,1.0,3.0,,,,4.0,7.0,1.0,,,,,
26,"Heffernan, Chris",15,7,10,25,1,,,3.0,1.0,6.0,4.0,6.0,1.0,,,12.0,14.0,2.0,2.0,1.0,,,
18,"Lloyd, Matthew",15,10,2,17,3,5.0,,1.0,,5.0,,1.0,,1.0,,9.0,9.0,4.0,5.0,,,,
25,"Lucas, Scott",13,5,3,16,,,,1.0,3.0,4.0,,,,,,8.0,8.0,3.0,,,,,
24,"Misiti, Joe",13,2,10,23,1,,,2.0,2.0,5.0,3.0,3.0,,3.0,2.0,11.0,13.0,,,4.0,,,
29,"Moorcroft, Gary",12,4,4,16,3,2.0,,3.0,,3.0,1.0,1.0,2.0,,,7.0,8.0,,3.0,2.0,,,
15,"Prior, Michael",1,1,1,2,,,,,,1.0,,,,,,,2.0,,,,,,
43,"Rioli, Dean",8,3,2,10,1,,,2.0,,3.0,,1.0,2.0,,,4.0,5.0,,,1.0,,,
7,"Solomon, Dean",8,3,3,11,,,,1.0,,1.0,1.0,,1.0,2.0,,4.0,8.0,,,2.0,2.0,,
12,"Symons, Michael",5,4,3,8,1,,,2.0,2.0,1.0,1.0,3.0,,,,1.0,7.0,,1.0,1.0,,,
21,"Wallis, Dean",6,5,9,15,,,,2.0,2.0,,,3.0,1.0,2.0,1.0,5.0,10.0,,,1.0,,,
6,"Wellman, Sean",13,7,1,14,,,,,5.0,2.0,,3.0,,,,4.0,10.0,1.0,,1.0,,,
35,"Young, Barry",15,4,11,26,3,,,,6.0,3.0,1.0,2.0,1.0,,3.0,8.0,16.0,1.0,2.0,,5.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,84,105,306,17,11.0,23.0,28.0,42.0,52.0,30.0,33.0,18.0,20.0,6.0,135.0,173.0,17.0,18.0,22.0,12.0,,
Opposition,Opposition,182,64,96,278,11,12.0,27.0,26.0,29.0,57.0,46.0,31.0,20.0,18.0,,146.0,137.0,12.0,12.0,22.0,7.0,,
