Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",28y 241d,114 (75-1-38 66.23%),17 (0.15),←,
46,"Blicavs, Mark",33y 49d,256 (170-3-83 66.99%),66 (0.26),←,
12,"Bowes, Jack",26y 111d,107 (34-2-71 32.71%),22 (0.21),24 (13-1-10 56.25%),8 (0.33)
4,"Bruhn, Tanner",21y 355d,57 (24-1-32 42.98%),20 (0.35),27 (13-1-13 50.00%),9 (0.33)
13,"Clark, Jhye",19y 298d,10 (6-0-4 60.00%),2 (0.20),←,
45,"Close, Brad",25y 291d,86 (59-1-26 69.19%),77 (0.90),←,
6,"Conway, Toby",21y 22d,4 (2-0-2 50.00%),1 (0.25),←,
28,"Dempsey, Oliver",21y 130d,17 (10-0-7 58.82%),9 (0.53),←,
29,"Guthrie, Cameron",31y 271d,240 (159-2-79 66.67%),75 (0.31),←,
39,"Guthrie, Zach",25y 321d,87 (55-2-30 64.37%),13 (0.15),←,
38,"Henry, Jack",25y 261d,128 (86-1-41 67.58%),24 (0.19),←,
36,"Henry, Oliver",21y 292d,57 (31-1-25 55.26%),90 (1.58),32 (17-1-14 54.69%),62 (1.94)
9,"Holmes, Max",21y 261d,61 (39-1-21 64.75%),27 (0.44),←,
8,"Kolodjashnij, Jake",28y 281d,183 (120-3-60 66.39%),3 (0.02),←,
32,"Miers, Gryan",25y 47d,116 (76-1-39 65.95%),89 (0.77),←,
34,"Mullin, Oisin",24y 95d,10 (5-0-5 50.00%),,←,
33,"Neale, Shannon",21y 296d,7 (3-0-4 42.86%),6 (0.86),←,
42,"OConnor, Mark",27y 120d,118 (78-0-40 66.10%),9 (0.08),←,
3,"Parfitt, Brandan",26y 19d,129 (88-0-41 68.22%),48 (0.37),←,
23,"Rohan, Gary",32y 344d,195 (130-2-63 67.18%),210 (1.08),89 (60-1-28 67.98%),114 (1.28)
18,"Stengle, Tyson",25y 210d,70 (40-1-29 57.86%),116 (1.66),54 (35-1-18 65.74%),101 (1.87)
44,"Stewart, Tom",31y 62d,157 (103-1-53 65.92%),4 (0.03),←,
2,"Tuohy, Zach",34y 158d,277 (149-3-125 54.33%),98 (0.35),157 (101-2-54 64.97%),58 (0.37)
Totals,Totals,26y 70d,2486 (1542-26-918 62.03%),1026 (0.41),,
C,"Scott, Chris",48y 13d,319 (217-3-99 68.50%),,←,
