Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
6,"Barnes, John",28y 40d,117 (68-2-47 58.97%),49 (0.42),105 (62-1-42 59.52%),37 (0.35)
30,"Biddiscombe, Craig",20y 293d,22 (15-1-6 70.45%),3 (0.14),←,
8,"Burns, Ronnie",24y 120d,36 (22-1-13 62.50%),65 (1.81),←,
2,"Colbert, Leigh",22y 34d,80 (53-1-26 66.88%),37 (0.46),←,
33,"Corrigan, Paul",19y 346d,11 (6-0-5 54.55%),2 (0.18),←,
36,"Graham, Ben",23y 251d,64 (44-0-20 68.75%),6 (0.09),←,
19,"Hall, Derek",26y 224d,46 (30-1-15 66.30%),47 (1.02),44 (28-1-15 64.77%),44 (1.00)
32,"Hocking, Garry",28y 276d,199 (118-2-79 59.80%),183 (0.92),←,
13,"Kilpatrick, Glenn",24y 316d,52 (30-0-22 57.69%),7 (0.13),26 (16-0-10 61.54%),3 (0.12)
1,"King, Steven",18y 231d,26 (14-0-12 53.85%),9 (0.35),←,
18,"Lynch, Paul",23y 266d,37 (27-0-10 72.97%),21 (0.57),←,
21,"Mansfield, Michael",25y 337d,132 (80-1-51 60.98%),76 (0.58),←,
17,"McGrath, Tim",26y 277d,136 (88-1-47 65.07%),12 (0.09),129 (84-1-44 65.50%),12 (0.09)
28,"McKinnon, Martin",22y 6d,59 (31-1-27 53.39%),33 (0.56),34 (21-1-12 63.24%),26 (0.76)
23,"Pickering, Liam",28y 305d,99 (61-1-37 62.12%),45 (0.45),77 (52-1-24 68.18%),37 (0.48)
15,"Riccardi, Peter",24y 206d,118 (76-1-41 64.83%),117 (0.99),←,
27,"Sanderson, Brenton",23y 134d,58 (35-1-22 61.21%),16 (0.28),48 (33-1-14 69.79%),11 (0.23)
12,"Sholl, Brad",24y 243d,64 (40-1-23 63.28%),14 (0.22),62 (40-1-21 65.32%),14 (0.23)
20,"Steinfort, Carl",20y 101d,15 (9-0-6 60.00%),8 (0.53),←,
26,"Stoneham, Barry",29y 152d,188 (112-2-74 60.11%),165 (0.88),←,
10,"Tanner, Grant",26y 352d,66 (42-1-23 64.39%),28 (0.42),←,
Totals,Totals,24y 180d,1625 (1001-18-606 61.60%),943 (0.58),,
C,"Ayres, Gary",36y 286d,63 (41-1-21 65.87%),,←,
