Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Brown, Gavin",18,6.0,2,20,,,,4.0,,,,,3.0,1.0,1.0,,,,,,,,
35,"Daicos, Peter",7,,1,8,5.0,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
2,"Francis, Tony",21,7.0,5,26,,,,6.0,,,,,3.0,1.0,,,,,,,,,
3,"Gayfer, Michael",2,2.0,3,5,,,,1.0,,,,,,,,,,,,,,,
23,"Kelly, Craig",6,1.0,9,15,,,,4.0,,,,,2.0,2.0,,,,,,,,,
15,"Lehmann, Troy",11,4.0,3,14,,1.0,,1.0,,,,,,,,,,,,,,,
30,"Manson, James",5,6.0,3,8,,,10.0,,,,,,,2.0,,,,,,,,,
12,"McCartney, Jason",2,,1,3,,,1.0,,,,,,,1.0,,,,,,,,,
34,"McGuane, Mick",24,12.0,3,27,1.0,,,,,,,,1.0,1.0,,,,,,,,,
5,"McKeown, Ron",7,3.0,1,8,2.0,3.0,,,,,,,1.0,2.0,,,,,,,,,
1,"Monkhorst, Damian",10,4.0,8,18,,1.0,14.0,1.0,,,,,6.0,,,,,,,,,,
7,"Morwood, Shane",12,3.0,3,15,2.0,2.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,
4,"Pert, Gary",11,2.0,1,12,,,3.0,4.0,,,,,2.0,1.0,,,,,,,,,
13,"Richardson, Alan",17,3.0,2,19,,,,5.0,,,,,2.0,1.0,,,,,,,,,
29,"Russell, Scott",20,2.0,5,25,,,,7.0,,,,,2.0,,,,,,,,,,
31,"Saunders, Darren",5,,2,7,,,,2.0,,,,,1.0,1.0,,,,,,,,,
27,"Starcevich, Craig",9,6.0,4,13,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,
24,"Turner, Jamie",6,,1,7,,,,,,,,,,1.0,,,,,,,,,
20,"Woods, Tony",15,5.0,2,17,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,
19,"Wright, Graham",20,12.0,7,27,1.0,,,2.0,,,,,2.0,,3.0,,,,,,,,
Totals,Totals,228,78.0,66,294,12.0,9.0,31.0,43.0,,,,,32.0,17.0,4.0,,,,,,,,
Opposition,Opposition,185,51.0,71,256,9.0,12.0,15.0,28.0,,,,,17.0,32.0,2.0,,,,,,,,
