Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",13,3,5,18,2,1.0,,9.0,1.0,2.0,2.0,5.0,3.0,3.0,,6.0,12.0,,,3.0,,,86.0
21,"Barlow, Michael",15,4,9,24,,,,8.0,5.0,3.0,4.0,4.0,,2.0,,12.0,13.0,,,5.0,,,86.0
6,"Broughton, Greg",8,6,9,17,,1.0,,9.0,2.0,2.0,1.0,,2.0,,,10.0,7.0,1.0,1.0,1.0,,1.0,83.0
44,"Crichton, Jesse",3,2,7,10,1,,,6.0,,,1.0,3.0,,3.0,,5.0,5.0,,,,,,87.0
15,"Crowley, Ryan",6,1,4,10,,,,7.0,2.0,,1.0,1.0,,,,4.0,5.0,1.0,,3.0,,,93.0
17 ↑,"Crozier, Hayden",5,,11,16,,,,1.0,,4.0,1.0,2.0,1.0,,,11.0,5.0,,,2.0,,1.0,60.0
3,"Dawson, Zac",3,2,8,11,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,7.0,2.0,1.0,,12.0,,,79.0
40,"de Boer, Matt",14,5,15,29,1,,,13.0,2.0,3.0,8.0,3.0,5.0,1.0,2.0,17.0,11.0,,1.0,1.0,,,80.0
12,"Griffin, Jonathon",8,1,,8,1,,43.0,6.0,2.0,3.0,3.0,1.0,1.0,,,7.0,2.0,1.0,,7.0,,,90.0
32,"Hill, Stephen",15,1,9,24,,,,9.0,,5.0,8.0,1.0,1.0,1.0,,15.0,9.0,1.0,,3.0,,,72.0
5,"Ibbotson, Garrick",13,5,3,16,,1.0,,,4.0,3.0,1.0,2.0,,,,4.0,11.0,2.0,1.0,2.0,,1.0,89.0
37,"Johnson, Michael",16,7,7,23,,,,6.0,7.0,,1.0,3.0,1.0,1.0,,9.0,12.0,,,10.0,1.0,,100.0
23,"Mayne, Chris",10,2,10,20,1,,,4.0,1.0,1.0,,3.0,1.0,,,10.0,7.0,1.0,2.0,1.0,,3.0,93.0
18,"McPharlin, Luke",9,4,3,12,,,,2.0,3.0,,1.0,1.0,2.0,,,5.0,7.0,1.0,,4.0,,,100.0
9,"McPhee, Adam",9,3,8,17,,,,6.0,5.0,1.0,,1.0,1.0,,,8.0,10.0,,,8.0,,,100.0
16,"Mundy, David",14,7,7,21,,,,6.0,1.0,3.0,3.0,2.0,1.0,,,10.0,10.0,1.0,,,,,75.0
13,"Mzungu, Tendai",13,2,7,20,,,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,7.0,13.0,,,5.0,,2.0,90.0
27,"Neale, Lachie",5,,8,13,,,,7.0,1.0,1.0,1.0,3.0,,,,6.0,6.0,,,,,1.0,72.0
29,"Pavlich, Matthew",13,6,4,17,6,1.0,,2.0,2.0,3.0,1.0,3.0,,1.0,3.0,8.0,10.0,3.0,4.0,,,,94.0
46,"Pearce, Clancee",9,1,3,12,,,,9.0,1.0,3.0,2.0,1.0,1.0,,,6.0,5.0,,,3.0,,,78.0
31 ↓,"Sandilands, Aaron",1,,2,3,,,3.0,,,,,2.0,,,,2.0,1.0,,,1.0,,,4.0
8,"Suban, Nick",10,3,3,13,,,,4.0,1.0,2.0,1.0,3.0,1.0,2.0,,4.0,8.0,,,2.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,65,142,354,12,6.0,47.0,118.0,43.0,43.0,45.0,47.0,24.0,17.0,5.0,173.0,171.0,13.0,9.0,73.0,1.0,9.0,
Opposition,Opposition,214,53,150,364,9,12.0,61.0,84.0,26.0,58.0,44.0,54.0,17.0,24.0,1.0,172.0,182.0,9.0,4.0,78.0,3.0,5.0,
