Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Ablett, Gary",8,5,,8,4,3.0,,,,,,,1.0,,,,,,,,,,
6,"Barnes, John",4,5,12,16,1,1.0,19.0,1.0,,,,,1.0,1.0,,,,,,,,,
9,"Breuer, Shayne",9,4,8,17,2,,,4.0,,,,,,,,,,,,,,,
16,"Brownless, Bill",9,7,5,14,2,,,3.0,,,,,1.0,2.0,,,,,,,,,
40,"Brown, Paul",3,3,3,6,,,,,,,,,,,,,,,,,,,
2,"Colbert, Leigh",8,3,5,13,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"Couch, Paul",24,1,8,32,1,,,1.0,,,,,1.0,1.0,3.0,,,,,,,,
36,"Graham, Ben",5,5,5,10,,,,1.0,,,,,,,,,,,,,,,
14,"Handley, Steven",4,2,10,14,,,1.0,,,,,,2.0,4.0,,,,,,,,,
42,"Hickmott, Adrian",10,4,3,13,,,,3.0,,,,,1.0,,,,,,,,,,
32,"Hocking, Garry",14,1,15,29,,,,4.0,,,,,2.0,,1.0,,,,,,,,
18,"Lynch, Paul",9,1,4,13,,,,,,,,,,1.0,,,,,,,,,
21,"Mansfield, Michael",7,6,7,14,1,1.0,,2.0,,,,,1.0,,,,,,,,,,
17,"McGrath, Tim",11,4,4,15,1,,,,,,,,1.0,1.0,,,,,,,,,
31,"Mensch, David",9,5,2,11,2,1.0,,4.0,,,,,1.0,,,,,,,,,,
23,"Pickering, Liam",15,5,10,25,,2.0,,,,,,,1.0,1.0,,,,,,,,,
27,"Sanderson, Brenton",4,5,9,13,,,,,,,,,,1.0,,,,,,,,,
12,"Sholl, Brad",11,4,10,21,,,,1.0,,,,,1.0,,,,,,,,,,
37,"Simpson, Sean",,,,,,,,,,,,,,,,,,,,,,,
10,"Tanner, Grant",7,2,9,16,1,,,5.0,,,,,1.0,1.0,,,,,,,,,
11,"Tudor, Leigh",9,,4,13,,1.0,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,72,133,313,16,10.0,20.0,30.0,,,,,16.0,14.0,4.0,,,,,,,,
Opposition,Opposition,189,73,104,293,12,11.0,15.0,27.0,,,,,14.0,16.0,2.0,,,,,,,,
