0,1,2,3,4,5,6
←,"Round: 2 Venue: M.C.G. Date: Sat, 3-Apr-1993 2:00 PM Attendance: 49856","Round: 2 Venue: M.C.G. Date: Sat, 3-Apr-1993 2:00 PM Attendance: 49856","Round: 2 Venue: M.C.G. Date: Sat, 3-Apr-1993 2:00 PM Attendance: 49856","Round: 2 Venue: M.C.G. Date: Sat, 3-Apr-1993 2:00 PM Attendance: 49856","Round: 2 Venue: M.C.G. Date: Sat, 3-Apr-1993 2:00 PM Attendance: 49856",→
←,Essendon,4.5.29,11.8.74,14.12.96,20.12.132,→
←,Carlton,6.2.38,12.6.78,14.13.97,19.18.132,→
←,Qrt margin,CA by 9,CA by 4,CA by 1,Drawn,→
←,Qrt scores,CA 38-29,ES 45-40,ES 22-19,ES 36-35,→
←,Field umpires,"Peter Cameron (292), Hayden Kennedy (74)","Peter Cameron (292), Hayden Kennedy (74)","Peter Cameron (292), Hayden Kennedy (74)","Peter Cameron (292), Hayden Kennedy (74)",→
